title,line number,line,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet I,10,Within thine own bud buriest thy content,"('within', 'thine', 'own', 'bud', 'buriest', 'thy', 'content')","('within', 'thine', 'own', 'bud', 'buriest', 'thy', 'content')","(('within', 2), ('thine', 1), ('own', 1), ('bud', 1), ('buriest', None), ('thy', 1), ('content', 2))","(('within', 2), ('thine', 1), ('own', 1), ('bud', 1), ('buriest', None), ('thy', 1), ('content', 2))"
Sonnet I,11,"And, tender churl, makest waste in niggarding.","('and', ',', 'tender', 'churl', ',', 'makest', 'waste', 'in', 'niggarding', '.')","('and', '', 'tender', 'churl', '', 'makest', 'waste', 'in', 'niggarding', '')","(('and', 1), (',', 0), ('tender', 2), ('churl', None), (',', 0), ('makest', None), ('waste', 1), ('in', 1), ('niggarding', None), ('.', 0))","(('and', 1), ('', None), ('tender', 2), ('churl', None), ('', None), ('makest', None), ('waste', 1), ('in', 1), ('niggarding', None), ('', None))"
Sonnet I,12,"  Pity the world, or else this glutton be,","('pity', 'the', 'world', ',', 'or', 'else', 'this', 'glutton', 'be', ',')","('', '', 'pity', 'the', 'world', '', 'or', 'else', 'this', 'glutton', 'be', '')","(('pity', 2), ('the', 1), ('world', 1), (',', 0), ('or', 1), ('else', 1), ('this', 1), ('glutton', None), ('be', 1), (',', 0))","(('', None), ('', None), ('pity', 2), ('the', 1), ('world', 1), ('', None), ('or', 1), ('else', 1), ('this', 1), ('glutton', None), ('be', 1), ('', None))"
Sonnet I,13,"  To eat the world's due, by the grave and thee.","('to', 'eat', 'the', ""world's"", 'due', ',', 'by', 'the', 'grave', 'and', 'thee', '.')","('', '', 'to', 'eat', 'the', ""world's"", 'due', '', 'by', 'the', 'grave', 'and', 'thee', '')","(('to', 1), ('eat', 1), ('the', 1), (""world's"", 1), ('due', 1), (',', 0), ('by', 1), ('the', 1), ('grave', 1), ('and', 1), ('thee', 1), ('.', 0))","(('', None), ('', None), ('to', 1), ('eat', 1), ('the', 1), (""world's"", 1), ('due', 1), ('', None), ('by', 1), ('the', 1), ('grave', 1), ('and', 1), ('thee', 1), ('', None))"
Sonnet II,0,"When forty winters shall beseige thy brow,","('when', 'forty', 'winters', 'shall', 'beseige', 'thy', 'brow', ',')","('when', 'forty', 'winters', 'shall', 'beseige', 'thy', 'brow', '')","(('when', 1), ('forty', 2), ('winters', 2), ('shall', 1), ('beseige', None), ('thy', 1), ('brow', 1), (',', 0))","(('when', 1), ('forty', 2), ('winters', 2), ('shall', 1), ('beseige', None), ('thy', 1), ('brow', 1), ('', None))"
Sonnet II,1,"And dig deep trenches in thy beauty's field,","('and', 'dig', 'deep', 'trenches', 'in', 'thy', ""beauty's"", 'field', ',')","('and', 'dig', 'deep', 'trenches', 'in', 'thy', ""beauty's"", 'field', '')","(('and', 1), ('dig', 1), ('deep', 1), ('trenches', 2), ('in', 1), ('thy', 1), (""beauty's"", None), ('field', 1), (',', 0))","(('and', 1), ('dig', 1), ('deep', 1), ('trenches', 2), ('in', 1), ('thy', 1), (""beauty's"", None), ('field', 1), ('', None))"
Sonnet II,2,"Thy youth's proud livery, so gazed on now,","('thy', ""youth's"", 'proud', 'livery', ',', 'so', 'gazed', 'on', 'now', ',')","('thy', ""youth's"", 'proud', 'livery', '', 'so', 'gazed', 'on', 'now', '')","(('thy', 1), (""youth's"", 1), ('proud', 1), ('livery', 3), (',', 0), ('so', 1), ('gazed', 1), ('on', 1), ('now', 1), (',', 0))","(('thy', 1), (""youth's"", 1), ('proud', 1), ('livery', 3), ('', None), ('so', 1), ('gazed', 1), ('on', 1), ('now', 1), ('', None))"
Sonnet II,3,"Will be a tatter'd weed, of small worth held:","('will', 'be', 'a', ""tatter'd"", 'weed', ',', 'of', 'small', 'worth', 'held', ':')","('will', 'be', 'a', ""tatter'd"", 'weed', '', 'of', 'small', 'worth', 'held', '')","(('will', 1), ('be', 1), ('a', 1), (""tatter'd"", None), ('weed', 1), (',', 0), ('of', 1), ('small', 1), ('worth', 1), ('held', 1), (':', None))","(('will', 1), ('be', 1), ('a', 1), (""tatter'd"", None), ('weed', 1), ('', None), ('of', 1), ('small', 1), ('worth', 1), ('held', 1), ('', None))"
Sonnet II,4,"Then being ask'd where all thy beauty lies,","('then', 'being', ""ask'd"", 'where', 'all', 'thy', 'beauty', 'lies', ',')","('then', 'being', ""ask'd"", 'where', 'all', 'thy', 'beauty', 'lies', '')","(('then', 1), ('being', 2), (""ask'd"", None), ('where', 1), ('all', 1), ('thy', 1), ('beauty', 2), ('lies', 1), (',', 0))","(('then', 1), ('being', 2), (""ask'd"", None), ('where', 1), ('all', 1), ('thy', 1), ('beauty', 2), ('lies', 1), ('', None))"
Sonnet II,5,"Where all the treasure of thy lusty days,","('where', 'all', 'the', 'treasure', 'of', 'thy', 'lusty', 'days', ',')","('where', 'all', 'the', 'treasure', 'of', 'thy', 'lusty', 'days', '')","(('where', 1), ('all', 1), ('the', 1), ('treasure', 2), ('of', 1), ('thy', 1), ('lusty', 2), ('days', 1), (',', 0))","(('where', 1), ('all', 1), ('the', 1), ('treasure', 2), ('of', 1), ('thy', 1), ('lusty', 2), ('days', 1), ('', None))"
Sonnet II,6,"To say, within thine own deep-sunken eyes,","('to', 'say', ',', 'within', 'thine', 'own', 'deep', '-', 'sunken', 'eyes', ',')","('to', 'say', '', 'within', 'thine', 'own', 'deep', 'sunken', 'eyes', '')","(('to', 1), ('say', 1), (',', 0), ('within', 2), ('thine', 1), ('own', 1), ('deep', 1), ('-', 0), ('sunken', 2), ('eyes', 1), (',', 0))","(('to', 1), ('say', 1), ('', None), ('within', 2), ('thine', 1), ('own', 1), ('deep', 1), ('sunken', 2), ('eyes', 1), ('', None))"
Sonnet II,7,Were an all-eating shame and thriftless praise.,"('were', 'an', 'all', '-', 'eating', 'shame', 'and', 'thriftless', 'praise', '.')","('were', 'an', 'all', 'eating', 'shame', 'and', 'thriftless', 'praise', '')","(('were', 1), ('an', 1), ('all', 1), ('-', 0), ('eating', 2), ('shame', 1), ('and', 1), ('thriftless', None), ('praise', 1), ('.', 0))","(('were', 1), ('an', 1), ('all', 1), ('eating', 2), ('shame', 1), ('and', 1), ('thriftless', None), ('praise', 1), ('', None))"
Sonnet II,8,"How much more praise deserved thy beauty's use,","('how', 'much', 'more', 'praise', 'deserved', 'thy', ""beauty's"", 'use', ',')","('how', 'much', 'more', 'praise', 'deserved', 'thy', ""beauty's"", 'use', '')","(('how', 1), ('much', 1), ('more', 1), ('praise', 1), ('deserved', 2), ('thy', 1), (""beauty's"", None), ('use', 1), (',', 0))","(('how', 1), ('much', 1), ('more', 1), ('praise', 1), ('deserved', 2), ('thy', 1), (""beauty's"", None), ('use', 1), ('', None))"
Sonnet II,9,If thou couldst answer 'This fair child of mine,"('if', 'thou', 'couldst', 'answer', ""'this"", 'fair', 'child', 'of', 'mine')","('if', 'thou', 'couldst', 'answer', ""'this"", 'fair', 'child', 'of', 'mine')","(('if', 1), ('thou', 1), ('couldst', None), ('answer', 2), (""'this"", None), ('fair', 1), ('child', 1), ('of', 1), ('mine', 1))","(('if', 1), ('thou', 1), ('couldst', None), ('answer', 2), (""'this"", None), ('fair', 1), ('child', 1), ('of', 1), ('mine', 1))"
Sonnet II,10,"Shall sum my count and make my old excuse,'","('shall', 'sum', 'my', 'count', 'and', 'make', 'my', 'old', 'excuse', ',', ""'"")","('shall', 'sum', 'my', 'count', 'and', 'make', 'my', 'old', 'excuse', ""'"")","(('shall', 1), ('sum', 1), ('my', 1), ('count', 1), ('and', 1), ('make', 1), ('my', 1), ('old', 1), ('excuse', 2), (',', 0), (""'"", None))","(('shall', 1), ('sum', 1), ('my', 1), ('count', 1), ('and', 1), ('make', 1), ('my', 1), ('old', 1), ('excuse', 2), (""'"", None))"
Sonnet II,11,Proving his beauty by succession thine!,"('proving', 'his', 'beauty', 'by', 'succession', 'thine', '!')","('proving', 'his', 'beauty', 'by', 'succession', 'thine!')","(('proving', 2), ('his', 1), ('beauty', 2), ('by', 1), ('succession', 3), ('thine', 1), ('!', 0))","(('proving', 2), ('his', 1), ('beauty', 2), ('by', 1), ('succession', 3), ('thine!', None))"
Sonnet II,12,"  This were to be new made when thou art old,","('this', 'were', 'to', 'be', 'new', 'made', 'when', 'thou', 'art', 'old', ',')","('', '', 'this', 'were', 'to', 'be', 'new', 'made', 'when', 'thou', 'art', 'old', '')","(('this', 1), ('were', 1), ('to', 1), ('be', 1), ('new', 1), ('made', 1), ('when', 1), ('thou', 1), ('art', 1), ('old', 1), (',', 0))","(('', None), ('', None), ('this', 1), ('were', 1), ('to', 1), ('be', 1), ('new', 1), ('made', 1), ('when', 1), ('thou', 1), ('art', 1), ('old', 1), ('', None))"
Sonnet II,13,  And see thy blood warm when thou feel'st it cold.,"('and', 'see', 'thy', 'blood', 'warm', 'when', 'thou', ""feel'st"", 'it', 'cold', '.')","('', '', 'and', 'see', 'thy', 'blood', 'warm', 'when', 'thou', ""feel'st"", 'it', 'cold', '')","(('and', 1), ('see', 1), ('thy', 1), ('blood', 1), ('warm', 1), ('when', 1), ('thou', 1), (""feel'st"", None), ('it', 1), ('cold', 1), ('.', 0))","(('', None), ('', None), ('and', 1), ('see', 1), ('thy', 1), ('blood', 1), ('warm', 1), ('when', 1), ('thou', 1), (""feel'st"", None), ('it', 1), ('cold', 1), ('', None))"
Sonnet III,0,"Look in thy glass, and tell the face thou viewest","('look', 'in', 'thy', 'glass', ',', 'and', 'tell', 'the', 'face', 'thou', 'viewest')","('look', 'in', 'thy', 'glass', '', 'and', 'tell', 'the', 'face', 'thou', 'viewest')","(('look', 1), ('in', 1), ('thy', 1), ('glass', 1), (',', 0), ('and', 1), ('tell', 1), ('the', 1), ('face', 1), ('thou', 1), ('viewest', None))","(('look', 1), ('in', 1), ('thy', 1), ('glass', 1), ('', None), ('and', 1), ('tell', 1), ('the', 1), ('face', 1), ('thou', 1), ('viewest', None))"
Sonnet III,1,Now is the time that face should form another;,"('now', 'is', 'the', 'time', 'that', 'face', 'should', 'form', 'another', ';')","('now', 'is', 'the', 'time', 'that', 'face', 'should', 'form', 'another;')","(('now', 1), ('is', 1), ('the', 1), ('time', 1), ('that', 1), ('face', 1), ('should', 1), ('form', 1), ('another', 3), (';', 0))","(('now', 1), ('is', 1), ('the', 1), ('time', 1), ('that', 1), ('face', 1), ('should', 1), ('form', 1), ('another;', None))"
Sonnet III,2,"Whose fresh repair if now thou not renewest,","('whose', 'fresh', 'repair', 'if', 'now', 'thou', 'not', 'renewest', ',')","('whose', 'fresh', 'repair', 'if', 'now', 'thou', 'not', 'renewest', '')","(('whose', 1), ('fresh', 1), ('repair', 2), ('if', 1), ('now', 1), ('thou', 1), ('not', 1), ('renewest', None), (',', 0))","(('whose', 1), ('fresh', 1), ('repair', 2), ('if', 1), ('now', 1), ('thou', 1), ('not', 1), ('renewest', None), ('', None))"
Sonnet III,3,"Thou dost beguile the world, unbless some mother.","('thou', 'dost', 'beguile', 'the', 'world', ',', 'unbless', 'some', 'mother', '.')","('thou', 'dost', 'beguile', 'the', 'world', '', 'unbless', 'some', 'mother', '')","(('thou', 1), ('dost', 1), ('beguile', 2), ('the', 1), ('world', 1), (',', 0), ('unbless', None), ('some', 1), ('mother', 2), ('.', 0))","(('thou', 1), ('dost', 1), ('beguile', 2), ('the', 1), ('world', 1), ('', None), ('unbless', None), ('some', 1), ('mother', 2), ('', None))"
Sonnet III,4,For where is she so fair whose unear'd womb,"('for', 'where', 'is', 'she', 'so', 'fair', 'whose', ""unear'd"", 'womb')","('for', 'where', 'is', 'she', 'so', 'fair', 'whose', ""unear'd"", 'womb')","(('for', 1), ('where', 1), ('is', 1), ('she', 1), ('so', 1), ('fair', 1), ('whose', 1), (""unear'd"", None), ('womb', 1))","(('for', 1), ('where', 1), ('is', 1), ('she', 1), ('so', 1), ('fair', 1), ('whose', 1), (""unear'd"", None), ('womb', 1))"
Sonnet III,5,Disdains the tillage of thy husbandry?,"('disdains', 'the', 'tillage', 'of', 'thy', 'husbandry', '?')","('disdains', 'the', 'tillage', 'of', 'thy', 'husbandry?')","(('disdains', 2), ('the', 1), ('tillage', 2), ('of', 1), ('thy', 1), ('husbandry', 3), ('?', None))","(('disdains', 2), ('the', 1), ('tillage', 2), ('of', 1), ('thy', 1), ('husbandry?', None))"
Sonnet III,6,Or who is he so fond will be the tomb,"('or', 'who', 'is', 'he', 'so', 'fond', 'will', 'be', 'the', 'tomb')","('or', 'who', 'is', 'he', 'so', 'fond', 'will', 'be', 'the', 'tomb')","(('or', 1), ('who', 1), ('is', 1), ('he', 1), ('so', 1), ('fond', 1), ('will', 1), ('be', 1), ('the', 1), ('tomb', 1))","(('or', 1), ('who', 1), ('is', 1), ('he', 1), ('so', 1), ('fond', 1), ('will', 1), ('be', 1), ('the', 1), ('tomb', 1))"
Sonnet III,7,"Of his self-love, to stop posterity?","('of', 'his', 'self', '-', 'love', ',', 'to', 'stop', 'posterity', '?')","('of', 'his', 'self', 'love', '', 'to', 'stop', 'posterity?')","(('of', 1), ('his', 1), ('self', 1), ('-', 0), ('love', 1), (',', 0), ('to', 1), ('stop', 1), ('posterity', 4), ('?', None))","(('of', 1), ('his', 1), ('self', 1), ('love', 1), ('', None), ('to', 1), ('stop', 1), ('posterity?', None))"
Sonnet III,8,"Thou art thy mother's glass, and she in thee","('thou', 'art', 'thy', ""mother's"", 'glass', ',', 'and', 'she', 'in', 'thee')","('thou', 'art', 'thy', ""mother's"", 'glass', '', 'and', 'she', 'in', 'thee')","(('thou', 1), ('art', 1), ('thy', 1), (""mother's"", 2), ('glass', 1), (',', 0), ('and', 1), ('she', 1), ('in', 1), ('thee', 1))","(('thou', 1), ('art', 1), ('thy', 1), (""mother's"", 2), ('glass', 1), ('', None), ('and', 1), ('she', 1), ('in', 1), ('thee', 1))"
Sonnet III,9,Calls back the lovely April of her prime:,"('calls', 'back', 'the', 'lovely', 'april', 'of', 'her', 'prime', ':')","('calls', 'back', 'the', 'lovely', 'april', 'of', 'her', 'prime', '')","(('calls', 1), ('back', 1), ('the', 1), ('lovely', 2), ('april', 2), ('of', 1), ('her', 1), ('prime', 1), (':', None))","(('calls', 1), ('back', 1), ('the', 1), ('lovely', 2), ('april', 2), ('of', 1), ('her', 1), ('prime', 1), ('', None))"
Sonnet III,10,So thou through windows of thine age shall see,"('so', 'thou', 'through', 'windows', 'of', 'thine', 'age', 'shall', 'see')","('so', 'thou', 'through', 'windows', 'of', 'thine', 'age', 'shall', 'see')","(('so', 1), ('thou', 1), ('through', 1), ('windows', 2), ('of', 1), ('thine', 1), ('age', 1), ('shall', 1), ('see', 1))","(('so', 1), ('thou', 1), ('through', 1), ('windows', 2), ('of', 1), ('thine', 1), ('age', 1), ('shall', 1), ('see', 1))"
Sonnet III,11,Despite of wrinkles this thy golden time.,"('despite', 'of', 'wrinkles', 'this', 'thy', 'golden', 'time', '.')","('despite', 'of', 'wrinkles', 'this', 'thy', 'golden', 'time', '')","(('despite', 2), ('of', 1), ('wrinkles', 2), ('this', 1), ('thy', 1), ('golden', 2), ('time', 1), ('.', 0))","(('despite', 2), ('of', 1), ('wrinkles', 2), ('this', 1), ('thy', 1), ('golden', 2), ('time', 1), ('', None))"
Sonnet III,12,"  But if thou live, remember'd not to be,","('but', 'if', 'thou', 'live', ',', ""remember'd"", 'not', 'to', 'be', ',')","('', '', 'but', 'if', 'thou', 'live', '', ""remember'd"", 'not', 'to', 'be', '')","(('but', 1), ('if', 1), ('thou', 1), ('live', 1), (',', 0), (""remember'd"", None), ('not', 1), ('to', 1), ('be', 1), (',', 0))","(('', None), ('', None), ('but', 1), ('if', 1), ('thou', 1), ('live', 1), ('', None), (""remember'd"", None), ('not', 1), ('to', 1), ('be', 1), ('', None))"
Sonnet III,13,"  Die single, and thine image dies with thee.","('die', 'single', ',', 'and', 'thine', 'image', 'dies', 'with', 'thee', '.')","('', '', 'die', 'single', '', 'and', 'thine', 'image', 'dies', 'with', 'thee', '')","(('die', 1), ('single', 2), (',', 0), ('and', 1), ('thine', 1), ('image', 2), ('dies', 1), ('with', 1), ('thee', 1), ('.', 0))","(('', None), ('', None), ('die', 1), ('single', 2), ('', None), ('and', 1), ('thine', 1), ('image', 2), ('dies', 1), ('with', 1), ('thee', 1), ('', None))"
Sonnet IV,0,"Unthrifty loveliness, why dost thou spend","('unthrifty', 'loveliness', ',', 'why', 'dost', 'thou', 'spend')","('unthrifty', 'loveliness', '', 'why', 'dost', 'thou', 'spend')","(('unthrifty', None), ('loveliness', None), (',', 0), ('why', 1), ('dost', 1), ('thou', 1), ('spend', 1))","(('unthrifty', None), ('loveliness', None), ('', None), ('why', 1), ('dost', 1), ('thou', 1), ('spend', 1))"
Sonnet IV,1,Upon thyself thy beauty's legacy?,"('upon', 'thyself', 'thy', ""beauty's"", 'legacy', '?')","('upon', 'thyself', 'thy', ""beauty's"", 'legacy?')","(('upon', 2), ('thyself', 2), ('thy', 1), (""beauty's"", None), ('legacy', 3), ('?', None))","(('upon', 2), ('thyself', 2), ('thy', 1), (""beauty's"", None), ('legacy?', None))"
Sonnet IV,2,"Nature's bequest gives nothing but doth lend,","(""nature's"", 'bequest', 'gives', 'nothing', 'but', 'doth', 'lend', ',')","(""nature's"", 'bequest', 'gives', 'nothing', 'but', 'doth', 'lend', '')","((""nature's"", 2), ('bequest', 2), ('gives', 1), ('nothing', 2), ('but', 1), ('doth', 1), ('lend', 1), (',', 0))","((""nature's"", 2), ('bequest', 2), ('gives', 1), ('nothing', 2), ('but', 1), ('doth', 1), ('lend', 1), ('', None))"
Sonnet IV,3,And being frank she lends to those are free.,"('and', 'being', 'frank', 'she', 'lends', 'to', 'those', 'are', 'free', '.')","('and', 'being', 'frank', 'she', 'lends', 'to', 'those', 'are', 'free', '')","(('and', 1), ('being', 2), ('frank', 1), ('she', 1), ('lends', 1), ('to', 1), ('those', 1), ('are', 1), ('free', 1), ('.', 0))","(('and', 1), ('being', 2), ('frank', 1), ('she', 1), ('lends', 1), ('to', 1), ('those', 1), ('are', 1), ('free', 1), ('', None))"
Sonnet IV,4,"Then, beauteous niggard, why dost thou abuse","('then', ',', 'beauteous', 'niggard', ',', 'why', 'dost', 'thou', 'abuse')","('then', '', 'beauteous', 'niggard', '', 'why', 'dost', 'thou', 'abuse')","(('then', 1), (',', 0), ('beauteous', None), ('niggard', 2), (',', 0), ('why', 1), ('dost', 1), ('thou', 1), ('abuse', 2))","(('then', 1), ('', None), ('beauteous', None), ('niggard', 2), ('', None), ('why', 1), ('dost', 1), ('thou', 1), ('abuse', 2))"
Sonnet IV,5,The bounteous largess given thee to give?,"('the', 'bounteous', 'largess', 'given', 'thee', 'to', 'give', '?')","('the', 'bounteous', 'largess', 'given', 'thee', 'to', 'give?')","(('the', 1), ('bounteous', None), ('largess', 2), ('given', 2), ('thee', 1), ('to', 1), ('give', 1), ('?', None))","(('the', 1), ('bounteous', None), ('largess', 2), ('given', 2), ('thee', 1), ('to', 1), ('give?', None))"
Sonnet IV,6,"Profitless usurer, why dost thou use","('profitless', 'usurer', ',', 'why', 'dost', 'thou', 'use')","('profitless', 'usurer', '', 'why', 'dost', 'thou', 'use')","(('profitless', None), ('usurer', None), (',', 0), ('why', 1), ('dost', 1), ('thou', 1), ('use', 1))","(('profitless', None), ('usurer', None), ('', None), ('why', 1), ('dost', 1), ('thou', 1), ('use', 1))"
Sonnet IV,7,"So great a sum of sums, yet canst not live?","('so', 'great', 'a', 'sum', 'of', 'sums', ',', 'yet', 'canst', 'not', 'live', '?')","('so', 'great', 'a', 'sum', 'of', 'sums', '', 'yet', 'canst', 'not', 'live?')","(('so', 1), ('great', 1), ('a', 1), ('sum', 1), ('of', 1), ('sums', 1), (',', 0), ('yet', 1), ('canst', None), ('not', 1), ('live', 1), ('?', None))","(('so', 1), ('great', 1), ('a', 1), ('sum', 1), ('of', 1), ('sums', 1), ('', None), ('yet', 1), ('canst', None), ('not', 1), ('live?', None))"
Sonnet IV,8,"For having traffic with thyself alone,","('for', 'having', 'traffic', 'with', 'thyself', 'alone', ',')","('for', 'having', 'traffic', 'with', 'thyself', 'alone', '')","(('for', 1), ('having', 2), ('traffic', 2), ('with', 1), ('thyself', 2), ('alone', 2), (',', 0))","(('for', 1), ('having', 2), ('traffic', 2), ('with', 1), ('thyself', 2), ('alone', 2), ('', None))"
Sonnet IV,9,Thou of thyself thy sweet self dost deceive.,"('thou', 'of', 'thyself', 'thy', 'sweet', 'self', 'dost', 'deceive', '.')","('thou', 'of', 'thyself', 'thy', 'sweet', 'self', 'dost', 'deceive', '')","(('thou', 1), ('of', 1), ('thyself', 2), ('thy', 1), ('sweet', 1), ('self', 1), ('dost', 1), ('deceive', 2), ('.', 0))","(('thou', 1), ('of', 1), ('thyself', 2), ('thy', 1), ('sweet', 1), ('self', 1), ('dost', 1), ('deceive', 2), ('', None))"
Sonnet IV,10,"Then how, when nature calls thee to be gone,","('then', 'how', ',', 'when', 'nature', 'calls', 'thee', 'to', 'be', 'gone', ',')","('then', 'how', '', 'when', 'nature', 'calls', 'thee', 'to', 'be', 'gone', '')","(('then', 1), ('how', 1), (',', 0), ('when', 1), ('nature', 2), ('calls', 1), ('thee', 1), ('to', 1), ('be', 1), ('gone', 1), (',', 0))","(('then', 1), ('how', 1), ('', None), ('when', 1), ('nature', 2), ('calls', 1), ('thee', 1), ('to', 1), ('be', 1), ('gone', 1), ('', None))"
Sonnet IV,11,What acceptable audit canst thou leave?,"('what', 'acceptable', 'audit', 'canst', 'thou', 'leave', '?')","('what', 'acceptable', 'audit', 'canst', 'thou', 'leave?')","(('what', 1), ('acceptable', 4), ('audit', 2), ('canst', None), ('thou', 1), ('leave', 1), ('?', None))","(('what', 1), ('acceptable', 4), ('audit', 2), ('canst', None), ('thou', 1), ('leave?', None))"
Sonnet IV,12,"  Thy unused beauty must be tomb'd with thee,","('thy', 'unused', 'beauty', 'must', 'be', ""tomb'd"", 'with', 'thee', ',')","('', '', 'thy', 'unused', 'beauty', 'must', 'be', ""tomb'd"", 'with', 'thee', '')","(('thy', 1), ('unused', 2), ('beauty', 2), ('must', 1), ('be', 1), (""tomb'd"", None), ('with', 1), ('thee', 1), (',', 0))","(('', None), ('', None), ('thy', 1), ('unused', 2), ('beauty', 2), ('must', 1), ('be', 1), (""tomb'd"", None), ('with', 1), ('thee', 1), ('', None))"
Sonnet IV,13,"  Which, used, lives th' executor to be.","('which', ',', 'used', ',', 'lives', ""th'"", 'executor', 'to', 'be', '.')","('', '', 'which', '', 'used', '', 'lives', ""th'"", 'executor', 'to', 'be', '')","(('which', 1), (',', 0), ('used', 1), (',', 0), ('lives', 1), (""th'"", None), ('executor', 4), ('to', 1), ('be', 1), ('.', 0))","(('', None), ('', None), ('which', 1), ('', None), ('used', 1), ('', None), ('lives', 1), (""th'"", None), ('executor', 4), ('to', 1), ('be', 1), ('', None))"
