previous_word,one_word,one_word_next,two_word,two_word_next,three_gram,three_word_next
"('thou', 1)","(',', 0)","('contracted', 3)","((',', 'contracted'), None)","('to', 1)","((',', 'contracted', 'to'), None)","('thine', 1)"
"(',', 0)","('contracted', 3)","('to', 1)","(('contracted', 'to'), None)","('thine', 1)","(('contracted', 'to', 'thine'), None)","('own', 1)"
"('contracted', 3)","('to', 1)","('thine', 1)","(('to', 'thine'), None)","('own', 1)","(('to', 'thine', 'own'), None)","('bright', 1)"
"('to', 1)","('thine', 1)","('own', 1)","(('thine', 'own'), None)","('bright', 1)","(('thine', 'own', 'bright'), None)","('eyes', 1)"
"('thine', 1)","('own', 1)","('bright', 1)","(('own', 'bright'), None)","('eyes', 1)","(('own', 'bright', 'eyes'), None)","(',', 0)"
"('own', 1)","('bright', 1)","('eyes', 1)","(('bright', 'eyes'), None)","(',', 0)","(('bright', 'eyes', ','), None)","('\n', 0)"
"('bright', 1)","('eyes', 1)","(',', 0)","(('eyes', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('eyes', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","(""feed'st"", None)","('thy', 1)","((""feed'st"", 'thy'), None)","(""light'st"", None)","((""feed'st"", 'thy', ""light'st""), None)","('flame', 1)"
"(""feed'st"", None)","('thy', 1)","(""light'st"", None)","(('thy', ""light'st""), None)","('flame', 1)","(('thy', ""light'st"", 'flame'), None)","('with', 1)"
"('thy', 1)","(""light'st"", None)","('flame', 1)","((""light'st"", 'flame'), None)","('with', 1)","((""light'st"", 'flame', 'with'), None)","('self', 1)"
"(""light'st"", None)","('flame', 1)","('with', 1)","(('flame', 'with'), None)","('self', 1)","(('flame', 'with', 'self'), None)","('-', 0)"
"('flame', 1)","('with', 1)","('self', 1)","(('with', 'self'), None)","('-', 0)","(('with', 'self', '-'), None)","('substantial', 3)"
"('with', 1)","('self', 1)","('-', 0)","(('self', '-'), None)","('substantial', 3)","(('self', '-', 'substantial'), None)","('fuel', 2)"
"('self', 1)","('-', 0)","('substantial', 3)","(('-', 'substantial'), None)","('fuel', 2)","(('-', 'substantial', 'fuel'), None)","(',', 0)"
"('-', 0)","('substantial', 3)","('fuel', 2)","(('substantial', 'fuel'), None)","(',', 0)","(('substantial', 'fuel', ','), None)","('\n', 0)"
"('substantial', 3)","('fuel', 2)","(',', 0)","(('fuel', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('fuel', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('making', 2)","('a', 1)","(('making', 'a'), None)","('famine', 2)","(('making', 'a', 'famine'), None)","('where', 1)"
"('making', 2)","('a', 1)","('famine', 2)","(('a', 'famine'), None)","('where', 1)","(('a', 'famine', 'where'), None)","('abundance', 3)"
"('a', 1)","('famine', 2)","('where', 1)","(('famine', 'where'), None)","('abundance', 3)","(('famine', 'where', 'abundance'), None)","('lies', 1)"
"('famine', 2)","('where', 1)","('abundance', 3)","(('where', 'abundance'), None)","('lies', 1)","(('where', 'abundance', 'lies'), None)","(',', 0)"
"('where', 1)","('abundance', 3)","('lies', 1)","(('abundance', 'lies'), None)","(',', 0)","(('abundance', 'lies', ','), None)","('\n', 0)"
"('abundance', 3)","('lies', 1)","(',', 0)","(('lies', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('lies', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('thyself', 2)","('thy', 1)","(('thyself', 'thy'), None)","('foe', 1)","(('thyself', 'thy', 'foe'), None)","(',', 0)"
"('thyself', 2)","('thy', 1)","('foe', 1)","(('thy', 'foe'), None)","(',', 0)","(('thy', 'foe', ','), None)","('to', 1)"
"('thy', 1)","('foe', 1)","(',', 0)","(('foe', ','), None)","('to', 1)","(('foe', ',', 'to'), None)","('thy', 1)"
"('foe', 1)","(',', 0)","('to', 1)","((',', 'to'), None)","('thy', 1)","((',', 'to', 'thy'), None)","('sweet', 1)"
"(',', 0)","('to', 1)","('thy', 1)","(('to', 'thy'), None)","('sweet', 1)","(('to', 'thy', 'sweet'), None)","('self', 1)"
"('to', 1)","('thy', 1)","('sweet', 1)","(('thy', 'sweet'), None)","('self', 1)","(('thy', 'sweet', 'self'), None)","('too', 1)"
"('thy', 1)","('sweet', 1)","('self', 1)","(('sweet', 'self'), None)","('too', 1)","(('sweet', 'self', 'too'), None)","('cruel', 2)"
"('sweet', 1)","('self', 1)","('too', 1)","(('self', 'too'), None)","('cruel', 2)","(('self', 'too', 'cruel'), None)","('.', 0)"
"('self', 1)","('too', 1)","('cruel', 2)","(('too', 'cruel'), None)","('.', 0)","(('too', 'cruel', '.'), None)","('\n', 0)"
"('too', 1)","('cruel', 2)","('.', 0)","(('cruel', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('cruel', 2)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('thou', 1)","('that', 1)","(('thou', 'that'), None)","('art', 1)","(('thou', 'that', 'art'), None)","('now', 1)"
"('thou', 1)","('that', 1)","('art', 1)","(('that', 'art'), None)","('now', 1)","(('that', 'art', 'now'), None)","('the', 1)"
"('that', 1)","('art', 1)","('now', 1)","(('art', 'now'), None)","('the', 1)","(('art', 'now', 'the'), None)","(""world's"", 1)"
"('art', 1)","('now', 1)","('the', 1)","(('now', 'the'), None)","(""world's"", 1)","(('now', 'the', ""world's""), None)","('fresh', 1)"
"('now', 1)","('the', 1)","(""world's"", 1)","(('the', ""world's""), None)","('fresh', 1)","(('the', ""world's"", 'fresh'), None)","('ornament', 3)"
"('the', 1)","(""world's"", 1)","('fresh', 1)","((""world's"", 'fresh'), None)","('ornament', 3)","((""world's"", 'fresh', 'ornament'), None)","('\n', 0)"
"(""world's"", 1)","('fresh', 1)","('ornament', 3)","(('fresh', 'ornament'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('fresh', 1)","('ornament', 3)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('only', 2)","(('and', 'only'), None)","('herald', 2)","(('and', 'only', 'herald'), None)","('to', 1)"
"('and', 1)","('only', 2)","('herald', 2)","(('only', 'herald'), None)","('to', 1)","(('only', 'herald', 'to'), None)","('the', 1)"
"('only', 2)","('herald', 2)","('to', 1)","(('herald', 'to'), None)","('the', 1)","(('herald', 'to', 'the'), None)","('gaudy', 2)"
"('herald', 2)","('to', 1)","('the', 1)","(('to', 'the'), None)","('gaudy', 2)","(('to', 'the', 'gaudy'), None)","('spring', 1)"
"('to', 1)","('the', 1)","('gaudy', 2)","(('the', 'gaudy'), None)","('spring', 1)","(('the', 'gaudy', 'spring'), None)","(',', 0)"
"('the', 1)","('gaudy', 2)","('spring', 1)","(('gaudy', 'spring'), None)","(',', 0)","(('gaudy', 'spring', ','), None)","('\n', 0)"
"('gaudy', 2)","('spring', 1)","(',', 0)","(('spring', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('spring', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('within', 2)","('thine', 1)","(('within', 'thine'), None)","('own', 1)","(('within', 'thine', 'own'), None)","('bud', 1)"
"('within', 2)","('thine', 1)","('own', 1)","(('thine', 'own'), None)","('bud', 1)","(('thine', 'own', 'bud'), None)","('buriest', None)"
"('thine', 1)","('own', 1)","('bud', 1)","(('own', 'bud'), None)","('buriest', None)","(('own', 'bud', 'buriest'), None)","('thy', 1)"
"('own', 1)","('bud', 1)","('buriest', None)","(('bud', 'buriest'), None)","('thy', 1)","(('bud', 'buriest', 'thy'), None)","('content', 2)"
"('bud', 1)","('buriest', None)","('thy', 1)","(('buriest', 'thy'), None)","('content', 2)","(('buriest', 'thy', 'content'), None)","('\n', 0)"
"('buriest', None)","('thy', 1)","('content', 2)","(('thy', 'content'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thy', 1)","('content', 2)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","(',', 0)","(('and', ','), None)","('tender', 2)","(('and', ',', 'tender'), None)","('churl', None)"
"('and', 1)","(',', 0)","('tender', 2)","((',', 'tender'), None)","('churl', None)","((',', 'tender', 'churl'), None)","(',', 0)"
"(',', 0)","('tender', 2)","('churl', None)","(('tender', 'churl'), None)","(',', 0)","(('tender', 'churl', ','), None)","('makest', None)"
"('tender', 2)","('churl', None)","(',', 0)","(('churl', ','), None)","('makest', None)","(('churl', ',', 'makest'), None)","('waste', 1)"
"('churl', None)","(',', 0)","('makest', None)","((',', 'makest'), None)","('waste', 1)","((',', 'makest', 'waste'), None)","('in', 1)"
"(',', 0)","('makest', None)","('waste', 1)","(('makest', 'waste'), None)","('in', 1)","(('makest', 'waste', 'in'), None)","('niggarding', None)"
"('makest', None)","('waste', 1)","('in', 1)","(('waste', 'in'), None)","('niggarding', None)","(('waste', 'in', 'niggarding'), None)","('.', 0)"
"('waste', 1)","('in', 1)","('niggarding', None)","(('in', 'niggarding'), None)","('.', 0)","(('in', 'niggarding', '.'), None)","('\n', 0)"
"('in', 1)","('niggarding', None)","('.', 0)","(('niggarding', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('niggarding', None)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('pity', 2)","('the', 1)","(('pity', 'the'), None)","('world', 1)","(('pity', 'the', 'world'), None)","(',', 0)"
"('pity', 2)","('the', 1)","('world', 1)","(('the', 'world'), None)","(',', 0)","(('the', 'world', ','), None)","('or', 1)"
"('the', 1)","('world', 1)","(',', 0)","(('world', ','), None)","('or', 1)","(('world', ',', 'or'), None)","('else', 1)"
"('world', 1)","(',', 0)","('or', 1)","((',', 'or'), None)","('else', 1)","((',', 'or', 'else'), None)","('this', 1)"
"(',', 0)","('or', 1)","('else', 1)","(('or', 'else'), None)","('this', 1)","(('or', 'else', 'this'), None)","('glutton', None)"
"('or', 1)","('else', 1)","('this', 1)","(('else', 'this'), None)","('glutton', None)","(('else', 'this', 'glutton'), None)","('be', 1)"
"('else', 1)","('this', 1)","('glutton', None)","(('this', 'glutton'), None)","('be', 1)","(('this', 'glutton', 'be'), None)","(',', 0)"
"('this', 1)","('glutton', None)","('be', 1)","(('glutton', 'be'), None)","(',', 0)","(('glutton', 'be', ','), None)","('\n', 0)"
"('glutton', None)","('be', 1)","(',', 0)","(('be', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('be', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('to', 1)","('eat', 1)","(('to', 'eat'), None)","('the', 1)","(('to', 'eat', 'the'), None)","(""world's"", 1)"
"('to', 1)","('eat', 1)","('the', 1)","(('eat', 'the'), None)","(""world's"", 1)","(('eat', 'the', ""world's""), None)","('due', 1)"
"('eat', 1)","('the', 1)","(""world's"", 1)","(('the', ""world's""), None)","('due', 1)","(('the', ""world's"", 'due'), None)","(',', 0)"
"('the', 1)","(""world's"", 1)","('due', 1)","((""world's"", 'due'), None)","(',', 0)","((""world's"", 'due', ','), None)","('by', 1)"
"(""world's"", 1)","('due', 1)","(',', 0)","(('due', ','), None)","('by', 1)","(('due', ',', 'by'), None)","('the', 1)"
"('due', 1)","(',', 0)","('by', 1)","((',', 'by'), None)","('the', 1)","((',', 'by', 'the'), None)","('grave', 1)"
"(',', 0)","('by', 1)","('the', 1)","(('by', 'the'), None)","('grave', 1)","(('by', 'the', 'grave'), None)","('and', 1)"
"('by', 1)","('the', 1)","('grave', 1)","(('the', 'grave'), None)","('and', 1)","(('the', 'grave', 'and'), None)","('thee', 1)"
"('the', 1)","('grave', 1)","('and', 1)","(('grave', 'and'), None)","('thee', 1)","(('grave', 'and', 'thee'), None)","('.', 0)"
"('grave', 1)","('and', 1)","('thee', 1)","(('and', 'thee'), None)","('.', 0)","(('and', 'thee', '.'), None)","('\n', 0)"
"('and', 1)","('thee', 1)","('.', 0)","(('thee', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('thee', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('when', 1)","('forty', 2)","(('when', 'forty'), None)","('winters', 2)","(('when', 'forty', 'winters'), None)","('shall', 1)"
"('when', 1)","('forty', 2)","('winters', 2)","(('forty', 'winters'), None)","('shall', 1)","(('forty', 'winters', 'shall'), None)","('beseige', None)"
"('forty', 2)","('winters', 2)","('shall', 1)","(('winters', 'shall'), None)","('beseige', None)","(('winters', 'shall', 'beseige'), None)","('thy', 1)"
"('winters', 2)","('shall', 1)","('beseige', None)","(('shall', 'beseige'), None)","('thy', 1)","(('shall', 'beseige', 'thy'), None)","('brow', 1)"
"('shall', 1)","('beseige', None)","('thy', 1)","(('beseige', 'thy'), None)","('brow', 1)","(('beseige', 'thy', 'brow'), None)","(',', 0)"
"('beseige', None)","('thy', 1)","('brow', 1)","(('thy', 'brow'), None)","(',', 0)","(('thy', 'brow', ','), None)","('\n', 0)"
"('thy', 1)","('brow', 1)","(',', 0)","(('brow', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('brow', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('and', 1)","('dig', 1)","(('and', 'dig'), None)","('deep', 1)","(('and', 'dig', 'deep'), None)","('trenches', 2)"
"('and', 1)","('dig', 1)","('deep', 1)","(('dig', 'deep'), None)","('trenches', 2)","(('dig', 'deep', 'trenches'), None)","('in', 1)"
"('dig', 1)","('deep', 1)","('trenches', 2)","(('deep', 'trenches'), None)","('in', 1)","(('deep', 'trenches', 'in'), None)","('thy', 1)"
"('deep', 1)","('trenches', 2)","('in', 1)","(('trenches', 'in'), None)","('thy', 1)","(('trenches', 'in', 'thy'), None)","(""beauty's"", None)"
"('trenches', 2)","('in', 1)","('thy', 1)","(('in', 'thy'), None)","(""beauty's"", None)","(('in', 'thy', ""beauty's""), None)","('field', 1)"
"('in', 1)","('thy', 1)","(""beauty's"", None)","(('thy', ""beauty's""), None)","('field', 1)","(('thy', ""beauty's"", 'field'), None)","(',', 0)"
"('thy', 1)","(""beauty's"", None)","('field', 1)","((""beauty's"", 'field'), None)","(',', 0)","((""beauty's"", 'field', ','), None)","('\n', 0)"
"(""beauty's"", None)","('field', 1)","(',', 0)","(('field', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('field', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('thy', 1)","(""youth's"", 1)","(('thy', ""youth's""), None)","('proud', 1)","(('thy', ""youth's"", 'proud'), None)","('livery', 3)"
"('thy', 1)","(""youth's"", 1)","('proud', 1)","((""youth's"", 'proud'), None)","('livery', 3)","((""youth's"", 'proud', 'livery'), None)","(',', 0)"
"(""youth's"", 1)","('proud', 1)","('livery', 3)","(('proud', 'livery'), None)","(',', 0)","(('proud', 'livery', ','), None)","('so', 1)"
"('proud', 1)","('livery', 3)","(',', 0)","(('livery', ','), None)","('so', 1)","(('livery', ',', 'so'), None)","('gazed', 1)"
"('livery', 3)","(',', 0)","('so', 1)","((',', 'so'), None)","('gazed', 1)","((',', 'so', 'gazed'), None)","('on', 1)"
"(',', 0)","('so', 1)","('gazed', 1)","(('so', 'gazed'), None)","('on', 1)","(('so', 'gazed', 'on'), None)","('now', 1)"
"('so', 1)","('gazed', 1)","('on', 1)","(('gazed', 'on'), None)","('now', 1)","(('gazed', 'on', 'now'), None)","(',', 0)"
"('gazed', 1)","('on', 1)","('now', 1)","(('on', 'now'), None)","(',', 0)","(('on', 'now', ','), None)","('\n', 0)"
"('on', 1)","('now', 1)","(',', 0)","(('now', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('now', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('will', 1)","('be', 1)","(('will', 'be'), None)","('a', 1)","(('will', 'be', 'a'), None)","(""tatter'd"", None)"
"('will', 1)","('be', 1)","('a', 1)","(('be', 'a'), None)","(""tatter'd"", None)","(('be', 'a', ""tatter'd""), None)","('weed', 1)"
"('be', 1)","('a', 1)","(""tatter'd"", None)","(('a', ""tatter'd""), None)","('weed', 1)","(('a', ""tatter'd"", 'weed'), None)","(',', 0)"
"('a', 1)","(""tatter'd"", None)","('weed', 1)","((""tatter'd"", 'weed'), None)","(',', 0)","((""tatter'd"", 'weed', ','), None)","('of', 1)"
"(""tatter'd"", None)","('weed', 1)","(',', 0)","(('weed', ','), None)","('of', 1)","(('weed', ',', 'of'), None)","('small', 1)"
"('weed', 1)","(',', 0)","('of', 1)","((',', 'of'), None)","('small', 1)","((',', 'of', 'small'), None)","('worth', 1)"
"(',', 0)","('of', 1)","('small', 1)","(('of', 'small'), None)","('worth', 1)","(('of', 'small', 'worth'), None)","('held', 1)"
"('of', 1)","('small', 1)","('worth', 1)","(('small', 'worth'), None)","('held', 1)","(('small', 'worth', 'held'), None)","(':', None)"
"('small', 1)","('worth', 1)","('held', 1)","(('worth', 'held'), None)","(':', None)","(('worth', 'held', ':'), None)","('\n', 0)"
"('worth', 1)","('held', 1)","(':', None)","(('held', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('held', 1)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('then', 1)","('being', 2)","(('then', 'being'), None)","(""ask'd"", None)","(('then', 'being', ""ask'd""), None)","('where', 1)"
"('then', 1)","('being', 2)","(""ask'd"", None)","(('being', ""ask'd""), None)","('where', 1)","(('being', ""ask'd"", 'where'), None)","('all', 1)"
"('being', 2)","(""ask'd"", None)","('where', 1)","((""ask'd"", 'where'), None)","('all', 1)","((""ask'd"", 'where', 'all'), None)","('thy', 1)"
"(""ask'd"", None)","('where', 1)","('all', 1)","(('where', 'all'), None)","('thy', 1)","(('where', 'all', 'thy'), None)","('beauty', 2)"
"('where', 1)","('all', 1)","('thy', 1)","(('all', 'thy'), None)","('beauty', 2)","(('all', 'thy', 'beauty'), None)","('lies', 1)"
"('all', 1)","('thy', 1)","('beauty', 2)","(('thy', 'beauty'), None)","('lies', 1)","(('thy', 'beauty', 'lies'), None)","(',', 0)"
"('thy', 1)","('beauty', 2)","('lies', 1)","(('beauty', 'lies'), None)","(',', 0)","(('beauty', 'lies', ','), None)","('\n', 0)"
"('beauty', 2)","('lies', 1)","(',', 0)","(('lies', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('lies', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('where', 1)","('all', 1)","(('where', 'all'), None)","('the', 1)","(('where', 'all', 'the'), None)","('treasure', 2)"
"('where', 1)","('all', 1)","('the', 1)","(('all', 'the'), None)","('treasure', 2)","(('all', 'the', 'treasure'), None)","('of', 1)"
"('all', 1)","('the', 1)","('treasure', 2)","(('the', 'treasure'), None)","('of', 1)","(('the', 'treasure', 'of'), None)","('thy', 1)"
"('the', 1)","('treasure', 2)","('of', 1)","(('treasure', 'of'), None)","('thy', 1)","(('treasure', 'of', 'thy'), None)","('lusty', 2)"
"('treasure', 2)","('of', 1)","('thy', 1)","(('of', 'thy'), None)","('lusty', 2)","(('of', 'thy', 'lusty'), None)","('days', 1)"
"('of', 1)","('thy', 1)","('lusty', 2)","(('thy', 'lusty'), None)","('days', 1)","(('thy', 'lusty', 'days'), None)","(',', 0)"
"('thy', 1)","('lusty', 2)","('days', 1)","(('lusty', 'days'), None)","(',', 0)","(('lusty', 'days', ','), None)","('\n', 0)"
"('lusty', 2)","('days', 1)","(',', 0)","(('days', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('days', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('to', 1)","('say', 1)","(('to', 'say'), None)","(',', 0)","(('to', 'say', ','), None)","('within', 2)"
"('to', 1)","('say', 1)","(',', 0)","(('say', ','), None)","('within', 2)","(('say', ',', 'within'), None)","('thine', 1)"
"('say', 1)","(',', 0)","('within', 2)","((',', 'within'), None)","('thine', 1)","((',', 'within', 'thine'), None)","('own', 1)"
"(',', 0)","('within', 2)","('thine', 1)","(('within', 'thine'), None)","('own', 1)","(('within', 'thine', 'own'), None)","('deep', 1)"
"('within', 2)","('thine', 1)","('own', 1)","(('thine', 'own'), None)","('deep', 1)","(('thine', 'own', 'deep'), None)","('-', 0)"
"('thine', 1)","('own', 1)","('deep', 1)","(('own', 'deep'), None)","('-', 0)","(('own', 'deep', '-'), None)","('sunken', 2)"
"('own', 1)","('deep', 1)","('-', 0)","(('deep', '-'), None)","('sunken', 2)","(('deep', '-', 'sunken'), None)","('eyes', 1)"
"('deep', 1)","('-', 0)","('sunken', 2)","(('-', 'sunken'), None)","('eyes', 1)","(('-', 'sunken', 'eyes'), None)","(',', 0)"
"('-', 0)","('sunken', 2)","('eyes', 1)","(('sunken', 'eyes'), None)","(',', 0)","(('sunken', 'eyes', ','), None)","('\n', 0)"
"('sunken', 2)","('eyes', 1)","(',', 0)","(('eyes', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('eyes', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('were', 1)","('an', 1)","(('were', 'an'), None)","('all', 1)","(('were', 'an', 'all'), None)","('-', 0)"
"('were', 1)","('an', 1)","('all', 1)","(('an', 'all'), None)","('-', 0)","(('an', 'all', '-'), None)","('eating', 2)"
"('an', 1)","('all', 1)","('-', 0)","(('all', '-'), None)","('eating', 2)","(('all', '-', 'eating'), None)","('shame', 1)"
"('all', 1)","('-', 0)","('eating', 2)","(('-', 'eating'), None)","('shame', 1)","(('-', 'eating', 'shame'), None)","('and', 1)"
"('-', 0)","('eating', 2)","('shame', 1)","(('eating', 'shame'), None)","('and', 1)","(('eating', 'shame', 'and'), None)","('thriftless', None)"
"('eating', 2)","('shame', 1)","('and', 1)","(('shame', 'and'), None)","('thriftless', None)","(('shame', 'and', 'thriftless'), None)","('praise', 1)"
"('shame', 1)","('and', 1)","('thriftless', None)","(('and', 'thriftless'), None)","('praise', 1)","(('and', 'thriftless', 'praise'), None)","('.', 0)"
"('and', 1)","('thriftless', None)","('praise', 1)","(('thriftless', 'praise'), None)","('.', 0)","(('thriftless', 'praise', '.'), None)","('\n', 0)"
"('thriftless', None)","('praise', 1)","('.', 0)","(('praise', '.'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('praise', 1)","('.', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
