title,couplet number,couplet
Sonnet IV,5,"Then how, when nature calls thee to be gone,/What acceptable audit canst thou leave?"
Sonnet IV,6,"  Thy unused beauty must be tomb'd with thee,/  Which, used, lives th' executor to be."
Sonnet V,0,"Those hours, that with gentle work did frame/The lovely gaze where every eye doth dwell,"
Sonnet V,1,Will play the tyrants to the very same/And that unfair which fairly doth excel:
Sonnet V,2,For never-resting time leads summer on/To hideous winter and confounds him there;
Sonnet V,3,"Sap cheque'd with frost and lusty leaves quite gone,/Beauty o'ersnow'd and bareness every where:"
Sonnet V,4,"Then, were not summer's distillation left,/A liquid prisoner pent in walls of glass,"
Sonnet V,5,"Beauty's effect with beauty were bereft,/Nor it nor no remembrance what it was:"
Sonnet V,6,"  But flowers distill'd though they with winter meet,/  Leese but their show; their substance still lives sweet."
Sonnet VI,0,"Then let not winter's ragged hand deface/In thee thy summer, ere thou be distill'd:"
Sonnet VI,1,"Make sweet some vial; treasure thou some place/With beauty's treasure, ere it be self-kill'd."
Sonnet VI,2,"That use is not forbidden usury,/Which happies those that pay the willing loan;"
Sonnet VI,3,"That's for thyself to breed another thee,/Or ten times happier, be it ten for one;"
Sonnet VI,4,"Ten times thyself were happier than thou art,/If ten of thine ten times refigured thee:"
Sonnet VI,5,"Then what could death do, if thou shouldst depart,/Leaving thee living in posterity?"
Sonnet VI,6,"  Be not self-will'd, for thou art much too fair/  To be death's conquest and make worms thine heir."
Sonnet VII,0,"Lo! in the orient when the gracious light/Lifts up his burning head, each under eye"
Sonnet VII,1,"Doth homage to his new-appearing sight,/Serving with looks his sacred majesty;"
Sonnet VII,2,"And having climb'd the steep-up heavenly hill,/Resembling strong youth in his middle age,"
Sonnet VII,3,"yet mortal looks adore his beauty still,/Attending on his golden pilgrimage;"
Sonnet VII,4,"But when from highmost pitch, with weary car,/Like feeble age, he reeleth from the day,"
Sonnet VII,5,"The eyes, 'fore duteous, now converted are/From his low tract and look another way:"
Sonnet VII,6,"  So thou, thyself out-going in thy noon,/  Unlook'd on diest, unless thou get a son."
Sonnet VIII,0,"Music to hear, why hear'st thou music sadly?/Sweets with sweets war not, joy delights in joy."
Sonnet VIII,1,"Why lovest thou that which thou receivest not gladly,/Or else receivest with pleasure thine annoy?"
Sonnet VIII,2,"If the true concord of well-tuned sounds,/By unions married, do offend thine ear,"
Sonnet VIII,3,"They do but sweetly chide thee, who confounds/In singleness the parts that thou shouldst bear."
Sonnet VIII,4,"Mark how one string, sweet husband to another,/Strikes each in each by mutual ordering,"
Sonnet VIII,5,"Resembling sire and child and happy mother/Who all in one, one pleasing note do sing:"
Sonnet VIII,6,"  Whose speechless song, being many, seeming one,/  Sings this to thee: 'thou single wilt prove none.'"
Sonnet IX,0,Is it for fear to wet a widow's eye/That thou consumest thyself in single life?
Sonnet IX,1,"Ah! if thou issueless shalt hap to die./The world will wail thee, like a makeless wife;"
Sonnet IX,2,"The world will be thy widow and still weep/That thou no form of thee hast left behind,"
Sonnet IX,3,When every private widow well may keep/By children's eyes her husband's shape in mind.
Sonnet IX,4,"Look, what an unthrift in the world doth spend/Shifts but his place, for still the world enjoys it;"
Sonnet IX,5,"But beauty's waste hath in the world an end,/And kept unused, the user so destroys it."
Sonnet IX,6,  No love toward others in that bosom sits/  That on himself such murderous shame commits.
Sonnet X,0,"For shame! deny that thou bear'st love to any,/Who for thyself art so unprovident."
Sonnet X,1,"Grant, if thou wilt, thou art beloved of many,/But that thou none lovest is most evident;"
Sonnet X,2,For thou art so possess'd with murderous hate/That 'gainst thyself thou stick'st not to conspire.
Sonnet X,3,Seeking that beauteous roof to ruinate/Which to repair should be thy chief desire.
Sonnet X,4,"O, change thy thought, that I may change my mind!/Shall hate be fairer lodged than gentle love?"
Sonnet X,5,"Be, as thy presence is, gracious and kind,/Or to thyself at least kind-hearted prove:"
Sonnet X,6,"  Make thee another self, for love of me,/  That beauty still may live in thine or thee."
Sonnet XI,0,"As fast as thou shalt wane, so fast thou growest/In one of thine, from that which thou departest;"
Sonnet XI,1,And that fresh blood which youngly thou bestowest/Thou mayst call thine when thou from youth convertest.
Sonnet XI,2,"Herein lives wisdom, beauty and increase:/Without this, folly, age and cold decay:"
Sonnet XI,3,"If all were minded so, the times should cease/And threescore year would make the world away."
Sonnet XI,4,"Let those whom Nature hath not made for store,/Harsh featureless and rude, barrenly perish:"
Sonnet XI,5,"Look, whom she best endow'd she gave the more;/Which bounteous gift thou shouldst in bounty cherish:"
Sonnet XI,6,"  She carved thee for her seal, and meant thereby/  Thou shouldst print more, not let that copy die."
Sonnet XII,0,"When I do count the clock that tells the time,/And see the brave day sunk in hideous night;"
Sonnet XII,1,"When I behold the violet past prime,/And sable curls all silver'd o'er with white;"
Sonnet XII,2,"When lofty trees I see barren of leaves/Which erst from heat did canopy the herd,"
Sonnet XII,3,"And summer's green all girded up in sheaves/Borne on the bier with white and bristly beard,"
Sonnet XII,4,"Then of thy beauty do I question make,/That thou among the wastes of time must go,"
Sonnet XII,5,Since sweets and beauties do themselves forsake/And die as fast as they see others grow;
Sonnet XII,6,"  And nothing 'gainst Time's scythe can make defence/  Save breed, to brave him when he takes thee hence."
Sonnet XIII,0,"O, that you were yourself! but, love, you are/No longer yours than you yourself here live:"
Sonnet XIII,1,"Against this coming end you should prepare,/And your sweet semblance to some other give."
Sonnet XIII,2,So should that beauty which you hold in lease/Find no determination: then you were
Sonnet XIII,3,"Yourself again after yourself's decease,/When your sweet issue your sweet form should bear."
Sonnet XIII,4,"Who lets so fair a house fall to decay,/Which husbandry in honour might uphold"
Sonnet XIII,5,Against the stormy gusts of winter's day/And barren rage of death's eternal cold?
Sonnet XIII,6,"  O, none but unthrifts! Dear my love, you know/  You had a father: let your son say so."
Sonnet XIV,0,"Not from the stars do I my judgment pluck;/And yet methinks I have astronomy,"
Sonnet XIV,1,"But not to tell of good or evil luck,/Of plagues, of dearths, or seasons' quality;"
Sonnet XIV,2,"Nor can I fortune to brief minutes tell,/Pointing to each his thunder, rain and wind,"
Sonnet XIV,3,"Or say with princes if it shall go well,/By oft predict that I in heaven find:"
Sonnet XIV,4,"But from thine eyes my knowledge I derive,/And, constant stars, in them I read such art"
Sonnet XIV,5,"As truth and beauty shall together thrive,/If from thyself to store thou wouldst convert;"
Sonnet XIV,6,  Or else of thee this I prognosticate:/  Thy end is truth's and beauty's doom and date.
Sonnet XV,0,"When I consider every thing that grows/Holds in perfection but a little moment,"
Sonnet XV,1,That this huge stage presenteth nought but shows/Whereon the stars in secret influence comment;
Sonnet XV,2,"When I perceive that men as plants increase,/Cheered and cheque'd even by the self-same sky,"
Sonnet XV,3,"Vaunt in their youthful sap, at height decrease,/And wear their brave state out of memory;"
Sonnet XV,4,"Then the conceit of this inconstant stay/Sets you most rich in youth before my sight,"
Sonnet XV,5,"Where wasteful Time debateth with Decay,/To change your day of youth to sullied night;"
Sonnet XV,6,"  And all in war with Time for love of you,/  As he takes from you, I engraft you new."
Sonnet XVI,0,"But wherefore do not you a mightier way/Make war upon this bloody tyrant, Time?"
Sonnet XVI,1,And fortify yourself in your decay/With means more blessed than my barren rhyme?
Sonnet XVI,2,"Now stand you on the top of happy hours,/And many maiden gardens yet unset"
Sonnet XVI,3,"With virtuous wish would bear your living flowers,/Much liker than your painted counterfeit:"
Sonnet XVI,4,"So should the lines of life that life repair,/Which this, Time's pencil, or my pupil pen,"
Sonnet XVI,5,"Neither in inward worth nor outward fair,/Can make you live yourself in eyes of men."
Sonnet XVI,6,"  To give away yourself keeps yourself still,/  And you must live, drawn by your own sweet skill."
Sonnet XVII,0,"Who will believe my verse in time to come,/If it were fill'd with your most high deserts?"
Sonnet XVII,1,"Though yet, heaven knows, it is but as a tomb/Which hides your life and shows not half your parts."
Sonnet XVII,2,"If I could write the beauty of your eyes/And in fresh numbers number all your graces,"
Sonnet XVII,3,The age to come would say 'This poet lies:/Such heavenly touches ne'er touch'd earthly faces.'
Sonnet XVII,4,"So should my papers yellow'd with their age/Be scorn'd like old men of less truth than tongue,"
Sonnet XVII,5,And your true rights be term'd a poet's rage/And stretched metre of an antique song:
Sonnet XVII,6,"  But were some child of yours alive that time,/  You should live twice; in it and in my rhyme."
Sonnet XVIII,0,Shall I compare thee to a summer's day?/Thou art more lovely and more temperate:
Sonnet XVIII,1,"Rough winds do shake the darling buds of May,/And summer's lease hath all too short a date:"
Sonnet XVIII,2,"Sometime too hot the eye of heaven shines,/And often is his gold complexion dimm'd;"
Sonnet XVIII,3,"And every fair from fair sometime declines,/By chance or nature's changing course untrimm'd;"
Sonnet XVIII,4,But thy eternal summer shall not fade/Nor lose possession of that fair thou owest;
Sonnet XVIII,5,"Nor shall Death brag thou wander'st in his shade,/When in eternal lines to time thou growest:"
Sonnet XVIII,6,"  So long as men can breathe or eyes can see,/  So long lives this and this gives life to thee."
Sonnet XIX,0,"Devouring Time, blunt thou the lion's paws,/And make the earth devour her own sweet brood;"
Sonnet XIX,1,"Pluck the keen teeth from the fierce tiger's jaws,/And burn the long-lived phoenix in her blood;"
Sonnet XIX,2,"Make glad and sorry seasons as thou fleets,/And do whate'er thou wilt, swift-footed Time,"
Sonnet XIX,3,To the wide world and all her fading sweets;/But I forbid thee one most heinous crime:
Sonnet XIX,4,"O, carve not with thy hours my love's fair brow,/Nor draw no lines there with thine antique pen;"
Sonnet XIX,5,Him in thy course untainted do allow/For beauty's pattern to succeeding men.
Sonnet XIX,6,"  Yet, do thy worst, old Time: despite thy wrong,/  My love shall in my verse ever live young."
Sonnet XX,0,"A woman's face with Nature's own hand painted/Hast thou, the master-mistress of my passion;"
Sonnet XX,1,"A woman's gentle heart, but not acquainted/With shifting change, as is false women's fashion;"
Sonnet XX,2,"An eye more bright than theirs, less false in rolling,/Gilding the object whereupon it gazeth;"
Sonnet XX,3,"A man in hue, all 'hues' in his controlling,/Much steals men's eyes and women's souls amazeth."
Sonnet XX,4,"And for a woman wert thou first created;/Till Nature, as she wrought thee, fell a-doting,"
Sonnet XX,5,"And by addition me of thee defeated,/By adding one thing to my purpose nothing."
Sonnet XX,6,"  But since she prick'd thee out for women's pleasure,/  Mine be thy love and thy love's use their treasure."
Sonnet XXI,0,"So is it not with me as with that Muse/Stirr'd by a painted beauty to his verse,"
Sonnet XXI,1,Who heaven itself for ornament doth use/And every fair with his fair doth rehearse
Sonnet XXI,2,"Making a couplement of proud compare,/With sun and moon, with earth and sea's rich gems,"
Sonnet XXI,3,"With April's first-born flowers, and all things rare/That heaven's air in this huge rondure hems."
Sonnet XXI,4,"O' let me, true in love, but truly write,/And then believe me, my love is as fair"
Sonnet XXI,5,"As any mother's child, though not so bright/As those gold candles fix'd in heaven's air:"
Sonnet XXI,6,  Let them say more than like of hearsay well;/  I will not praise that purpose not to sell.
Sonnet XXII,0,"My glass shall not persuade me I am old,/So long as youth and thou are of one date;"
Sonnet XXII,1,"But when in thee time's furrows I behold,/Then look I death my days should expiate."
Sonnet XXII,2,"For all that beauty that doth cover thee/Is but the seemly raiment of my heart,"
Sonnet XXII,3,"Which in thy breast doth live, as thine in me:/How can I then be elder than thou art?"
Sonnet XXII,4,"O, therefore, love, be of thyself so wary/As I, not for myself, but for thee will;"
Sonnet XXII,5,"Bearing thy heart, which I will keep so chary/As tender nurse her babe from faring ill."
Sonnet XXII,6,"  Presume not on thy heart when mine is slain;/  Thou gavest me thine, not to give back again."
Sonnet XXIII,0,"As an unperfect actor on the stage/Who with his fear is put besides his part,"
Sonnet XXIII,1,"Or some fierce thing replete with too much rage,/Whose strength's abundance weakens his own heart."
Sonnet XXIII,2,"So I, for fear of trust, forget to say/The perfect ceremony of love's rite,"
Sonnet XXIII,3,"And in mine own love's strength seem to decay,/O'ercharged with burden of mine own love's might."
Sonnet XXIII,4,"O, let my books be then the eloquence/And dumb presagers of my speaking breast,"
Sonnet XXIII,5,Who plead for love and look for recompense/More than that tongue that more hath more express'd.
Sonnet XXIII,6,"  O, learn to read what silent love hath writ:/  To hear with eyes belongs to love's fine wit."
Sonnet XXIV,0,Mine eye hath play'd the painter and hath stell'd/Thy beauty's form in table of my heart;
Sonnet XXIV,1,"My body is the frame wherein 'tis held,/And perspective it is the painter's art."
Sonnet XXIV,2,"For through the painter must you see his skill,/To find where your true image pictured lies;"
Sonnet XXIV,3,"Which in my bosom's shop is hanging still,/That hath his windows glazed with thine eyes."
Sonnet XXIV,4,"Now see what good turns eyes for eyes have done:/Mine eyes have drawn thy shape, and thine for me"
Sonnet XXIV,5,"Are windows to my breast, where-through the sun/Delights to peep, to gaze therein on thee;"
Sonnet XXIV,6,"  Yet eyes this cunning want to grace their art;/  They draw but what they see, know not the heart."
Sonnet XXV,0,"Let those who are in favour with their stars/Of public honour and proud titles boast,"
Sonnet XXV,1,"Whilst I, whom fortune of such triumph bars,/Unlook'd for joy in that I honour most."
Sonnet XXV,2,"Great princes' favourites their fair leaves spread/But as the marigold at the sun's eye,"
Sonnet XXV,3,"And in themselves their pride lies buried,/For at a frown they in their glory die."
Sonnet XXV,4,"The painful warrior famoused for fight,/After a thousand victories once foil'd,"
Sonnet XXV,5,"Is from the book of honour razed quite,/And all the rest forgot for which he toil'd:"
Sonnet XXV,6,"  Then happy I, that love and am beloved/  Where I may not remove nor be removed."
Sonnet XXVI,0,"Lord of my love, to whom in vassalage/Thy merit hath my duty strongly knit,"
Sonnet XXVI,1,"To thee I send this written embassage,/To witness duty, not to show my wit:"
Sonnet XXVI,2,"Duty so great, which wit so poor as mine/May make seem bare, in wanting words to show it,"
Sonnet XXVI,3,"But that I hope some good conceit of thine/In thy soul's thought, all naked, will bestow it;"
Sonnet XXVI,4,Till whatsoever star that guides my moving/Points on me graciously with fair aspect
Sonnet XXVI,5,"And puts apparel on my tatter'd loving,/To show me worthy of thy sweet respect:"
Sonnet XXVI,6,  Then may I dare to boast how I do love thee;/  Till then not show my head where thou mayst prove me.
Sonnet XXVII,0,"Weary with toil, I haste me to my bed,/The dear repose for limbs with travel tired;"
Sonnet XXVII,1,"But then begins a journey in my head,/To work my mind, when body's work's expired:"
Sonnet XXVII,2,"For then my thoughts, from far where I abide,/Intend a zealous pilgrimage to thee,"
Sonnet XXVII,3,"And keep my drooping eyelids open wide,/Looking on darkness which the blind do see"
Sonnet XXVII,4,"Save that my soul's imaginary sight/Presents thy shadow to my sightless view,"
Sonnet XXVII,5,"Which, like a jewel hung in ghastly night,/Makes black night beauteous and her old face new."
Sonnet XXVII,6,"  Lo! thus, by day my limbs, by night my mind,/  For thee and for myself no quiet find."
Sonnet XXVIII,0,"How can I then return in happy plight,/That am debarr'd the benefit of rest?"
Sonnet XXVIII,1,"When day's oppression is not eased by night,/But day by night, and night by day, oppress'd?"
Sonnet XXVIII,2,"And each, though enemies to either's reign,/Do in consent shake hands to torture me;"
Sonnet XXVIII,3,"The one by toil, the other to complain/How far I toil, still farther off from thee."
Sonnet XXVIII,4,"I tell the day, to please them thou art bright/And dost him grace when clouds do blot the heaven:"
Sonnet XXVIII,5,"So flatter I the swart-complexion'd night,/When sparkling stars twire not thou gild'st the even."
Sonnet XXVIII,6,But day doth daily draw my sorrows longer/  And night doth nightly make grief's strength
Sonnet XXVIII,7,  	seem stronger./
Sonnet XXIX,0,"When, in disgrace with fortune and men's eyes,/I all alone beweep my outcast state"
Sonnet XXIX,1,"And trouble deaf heaven with my bootless cries/And look upon myself and curse my fate,"
Sonnet XXIX,2,"Wishing me like to one more rich in hope,/Featured like him, like him with friends possess'd,"
Sonnet XXIX,3,"Desiring this man's art and that man's scope,/With what I most enjoy contented least;"
Sonnet XXIX,4,"Yet in these thoughts myself almost despising,/Haply I think on thee, and then my state,"
Sonnet XXIX,5,"Like to the lark at break of day arising/From sullen earth, sings hymns at heaven's gate;"
Sonnet XXIX,6,  For thy sweet love remember'd such wealth brings/  That then I scorn to change my state with kings.
Sonnet XXX,0,"When to the sessions of sweet silent thought/I summon up remembrance of things past,"
Sonnet XXX,1,"I sigh the lack of many a thing I sought,/And with old woes new wail my dear time's waste:"
Sonnet XXX,2,"Then can I drown an eye, unused to flow,/For precious friends hid in death's dateless night,"
Sonnet XXX,3,"And weep afresh love's long since cancell'd woe,/And moan the expense of many a vanish'd sight:"
Sonnet XXX,4,"Then can I grieve at grievances foregone,/And heavily from woe to woe tell o'er"
Sonnet XXX,5,"The sad account of fore-bemoaned moan,/Which I new pay as if not paid before."
Sonnet XXX,6,"  But if the while I think on thee, dear friend,/  All losses are restored and sorrows end."
Sonnet XXXI,0,"Thy bosom is endeared with all hearts,/Which I by lacking have supposed dead,"
Sonnet XXXI,1,"And there reigns love and all love's loving parts,/And all those friends which I thought buried."
Sonnet XXXI,2,How many a holy and obsequious tear/Hath dear religious love stol'n from mine eye
Sonnet XXXI,3,"As interest of the dead, which now appear/But things removed that hidden in thee lie!"
Sonnet XXXI,4,"Thou art the grave where buried love doth live,/Hung with the trophies of my lovers gone,"
Sonnet XXXI,5,Who all their parts of me to thee did give;/That due of many now is thine alone:
Sonnet XXXI,6,"  Their images I loved I view in thee,/  And thou, all they, hast all the all of me."
Sonnet XXXII,0,"If thou survive my well-contented day,/When that churl Death my bones with dust shall cover,"
Sonnet XXXII,1,"And shalt by fortune once more re-survey/These poor rude lines of thy deceased lover,"
Sonnet XXXII,2,"Compare them with the bettering of the time,/And though they be outstripp'd by every pen,"
Sonnet XXXII,3,"Reserve them for my love, not for their rhyme,/Exceeded by the height of happier men."
Sonnet XXXII,4,"O, then vouchsafe me but this loving thought:/'Had my friend's Muse grown with this growing age,"
Sonnet XXXII,5,"A dearer birth than this his love had brought,/To march in ranks of better equipage:"
Sonnet XXXII,6,"  But since he died and poets better prove,/  Theirs for their style I'll read, his for his love.'"
Sonnet XXXIII,0,"Full many a glorious morning have I seen/Flatter the mountain-tops with sovereign eye,"
Sonnet XXXIII,1,"Kissing with golden face the meadows green,/Gilding pale streams with heavenly alchemy;"
Sonnet XXXIII,2,"Anon permit the basest clouds to ride/With ugly rack on his celestial face,"
Sonnet XXXIII,3,"And from the forlorn world his visage hide,/Stealing unseen to west with this disgrace:"
Sonnet XXXIII,4,Even so my sun one early morn did shine/With all triumphant splendor on my brow;
Sonnet XXXIII,5,"But out, alack! he was but one hour mine;/The region cloud hath mask'd him from me now."
Sonnet XXXIII,6,  Yet him for this my love no whit disdaineth;/  Suns of the world may stain when heaven's sun staineth.
Sonnet XXXIV,0,"Why didst thou promise such a beauteous day,/And make me travel forth without my cloak,"
Sonnet XXXIV,1,"To let base clouds o'ertake me in my way,/Hiding thy bravery in their rotten smoke?"
Sonnet XXXIV,2,"'Tis not enough that through the cloud thou break,/To dry the rain on my storm-beaten face,"
Sonnet XXXIV,3,For no man well of such a salve can speak/That heals the wound and cures not the disgrace:
Sonnet XXXIV,4,"Nor can thy shame give physic to my grief;/Though thou repent, yet I have still the loss:"
Sonnet XXXIV,5,The offender's sorrow lends but weak relief/To him that bears the strong offence's cross.
Sonnet XXXIV,6,"  Ah! but those tears are pearl which thy love sheds,/  And they are rich and ransom all ill deeds."
Sonnet XXXV,0,"No more be grieved at that which thou hast done:/Roses have thorns, and silver fountains mud;"
Sonnet XXXV,1,"Clouds and eclipses stain both moon and sun,/And loathsome canker lives in sweetest bud."
Sonnet XXXV,2,"All men make faults, and even I in this,/Authorizing thy trespass with compare,"
Sonnet XXXV,3,"Myself corrupting, salving thy amiss,/Excusing thy sins more than thy sins are;"
Sonnet XXXV,4,For to thy sensual fault I bring in sense--/Thy adverse party is thy advocate--
Sonnet XXXV,5,And 'gainst myself a lawful plea commence:/Such civil war is in my love and hate
Sonnet XXXV,6,  That I an accessary needs must be/  To that sweet thief which sourly robs from me.
Sonnet XXXVI,0,"Let me confess that we two must be twain,/Although our undivided loves are one:"
Sonnet XXXVI,1,So shall those blots that do with me remain/Without thy help by me be borne alone.
Sonnet XXXVI,2,"In our two loves there is but one respect,/Though in our lives a separable spite,"
Sonnet XXXVI,3,"Which though it alter not love's sole effect,/Yet doth it steal sweet hours from love's delight."
Sonnet XXXVI,4,"I may not evermore acknowledge thee,/Lest my bewailed guilt should do thee shame,"
Sonnet XXXVI,5,"Nor thou with public kindness honour me,/Unless thou take that honour from thy name:"
Sonnet XXXVI,6,"  But do not so; I love thee in such sort/  As, thou being mine, mine is thy good report."
Sonnet XXXVII,0,"As a decrepit father takes delight/To see his active child do deeds of youth,"
Sonnet XXXVII,1,"So I, made lame by fortune's dearest spite,/Take all my comfort of thy worth and truth."
Sonnet XXXVII,2,"For whether beauty, birth, or wealth, or wit,/Or any of these all, or all, or more,"
Sonnet XXXVII,3,"Entitled in thy parts do crowned sit,/I make my love engrafted to this store:"
Sonnet XXXVII,4,"So then I am not lame, poor, nor despised,/Whilst that this shadow doth such substance give"
Sonnet XXXVII,5,That I in thy abundance am sufficed/And by a part of all thy glory live.
Sonnet XXXVII,6,"  Look, what is best, that best I wish in thee:/  This wish I have; then ten times happy me!"
Sonnet XXXVIII,0,"How can my Muse want subject to invent,/While thou dost breathe, that pour'st into my verse"
Sonnet XXXVIII,1,"Thine own sweet argument, too excellent/For every vulgar paper to rehearse?"
Sonnet XXXVIII,2,"O, give thyself the thanks, if aught in me/Worthy perusal stand against thy sight;"
Sonnet XXXVIII,3,"For who's so dumb that cannot write to thee,/When thou thyself dost give invention light?"
Sonnet XXXVIII,4,"Be thou the tenth Muse, ten times more in worth/Than those old nine which rhymers invocate;"
Sonnet XXXVIII,5,"And he that calls on thee, let him bring forth/Eternal numbers to outlive long date."
Sonnet XXXVIII,6,"  If my slight Muse do please these curious days,/  The pain be mine, but thine shall be the praise."
Sonnet XXXIX,0,"O, how thy worth with manners may I sing,/When thou art all the better part of me?"
Sonnet XXXIX,1,What can mine own praise to mine own self bring?/And what is 't but mine own when I praise thee?
Sonnet XXXIX,2,"Even for this let us divided live,/And our dear love lose name of single one,"
Sonnet XXXIX,3,That by this separation I may give/That due to thee which thou deservest alone.
Sonnet XXXIX,4,"O absence, what a torment wouldst thou prove,/Were it not thy sour leisure gave sweet leave"
Sonnet XXXIX,5,"To entertain the time with thoughts of love,/Which time and thoughts so sweetly doth deceive,"
Sonnet XXXIX,6,"  And that thou teachest how to make one twain,/  By praising him here who doth hence remain!"
Sonnet XL,0,"Take all my loves, my love, yea, take them all;/What hast thou then more than thou hadst before?"
Sonnet XL,1,"No love, my love, that thou mayst true love call;/All mine was thine before thou hadst this more."
Sonnet XL,2,"Then if for my love thou my love receivest,/I cannot blame thee for my love thou usest;"
Sonnet XL,3,"But yet be blamed, if thou thyself deceivest/By wilful taste of what thyself refusest."
Sonnet XL,4,"I do forgive thy robbery, gentle thief,/Although thou steal thee all my poverty;"
Sonnet XL,5,"And yet, love knows, it is a greater grief/To bear love's wrong than hate's known injury."
Sonnet XL,6,"  Lascivious grace, in whom all ill well shows,/  Kill me with spites; yet we must not be foes."
Sonnet XLI,0,"Those petty wrongs that liberty commits,/When I am sometime absent from thy heart,"
Sonnet XLI,1,"Thy beauty and thy years full well befits,/For still temptation follows where thou art."
Sonnet XLI,2,"Gentle thou art and therefore to be won,/Beauteous thou art, therefore to be assailed;"
Sonnet XLI,3,"And when a woman woos, what woman's son/Will sourly leave her till she have prevailed?"
Sonnet XLI,4,"Ay me! but yet thou mightest my seat forbear,/And chide try beauty and thy straying youth,"
Sonnet XLI,5,"Who lead thee in their riot even there/Where thou art forced to break a twofold truth,"
Sonnet XLI,6,"  Hers by thy beauty tempting her to thee,/  Thine, by thy beauty being false to me."
Sonnet XLII,0,"That thou hast her, it is not all my grief,/And yet it may be said I loved her dearly;"
Sonnet XLII,1,"That she hath thee, is of my wailing chief,/A loss in love that touches me more nearly."
Sonnet XLII,2,"Loving offenders, thus I will excuse ye:/Thou dost love her, because thou knowst I love her;"
Sonnet XLII,3,"And for my sake even so doth she abuse me,/Suffering my friend for my sake to approve her."
Sonnet XLII,4,"If I lose thee, my loss is my love's gain,/And losing her, my friend hath found that loss;"
Sonnet XLII,5,"Both find each other, and I lose both twain,/And both for my sake lay on me this cross:"
Sonnet XLII,6,  But here's the joy; my friend and I are one;/  Sweet flattery! then she loves but me alone.
Sonnet XLIII,0,"When most I wink, then do mine eyes best see,/For all the day they view things unrespected;"
Sonnet XLIII,1,"But when I sleep, in dreams they look on thee,/And darkly bright are bright in dark directed."
Sonnet XLIII,2,"Then thou, whose shadow shadows doth make bright,/How would thy shadow's form form happy show"
Sonnet XLIII,3,"To the clear day with thy much clearer light,/When to unseeing eyes thy shade shines so!"
Sonnet XLIII,4,"How would, I say, mine eyes be blessed made/By looking on thee in the living day,"
Sonnet XLIII,5,When in dead night thy fair imperfect shade/Through heavy sleep on sightless eyes doth stay!
Sonnet XLIII,6,"  All days are nights to see till I see thee,/  And nights bright days when dreams do show thee me."
Sonnet XLIV,0,"If the dull substance of my flesh were thought,/Injurious distance should not stop my way;"
Sonnet XLIV,1,"For then despite of space I would be brought,/From limits far remote where thou dost stay."
Sonnet XLIV,2,No matter then although my foot did stand/Upon the farthest earth removed from thee;
Sonnet XLIV,3,For nimble thought can jump both sea and land/As soon as think the place where he would be.
Sonnet XLIV,4,"But ah! thought kills me that I am not thought,/To leap large lengths of miles when thou art gone,"
Sonnet XLIV,5,"But that so much of earth and water wrought/I must attend time's leisure with my moan,"
Sonnet XLIV,6,"  Receiving nought by elements so slow/  But heavy tears, badges of either's woe."
Sonnet XLV,0,"The other two, slight air and purging fire,/Are both with thee, wherever I abide;"
Sonnet XLV,1,"The first my thought, the other my desire,/These present-absent with swift motion slide."
