title,line number,line
Sonnet III,12,"  But if thou live, remember'd not to be,"
Sonnet III,13,"  Die single, and thine image dies with thee."
Sonnet IV,0,"Unthrifty loveliness, why dost thou spend"
Sonnet IV,1,Upon thyself thy beauty's legacy?
Sonnet IV,2,"Nature's bequest gives nothing but doth lend,"
Sonnet IV,3,And being frank she lends to those are free.
Sonnet IV,4,"Then, beauteous niggard, why dost thou abuse"
Sonnet IV,5,The bounteous largess given thee to give?
Sonnet IV,6,"Profitless usurer, why dost thou use"
Sonnet IV,7,"So great a sum of sums, yet canst not live?"
Sonnet IV,8,"For having traffic with thyself alone,"
Sonnet IV,9,Thou of thyself thy sweet self dost deceive.
Sonnet IV,10,"Then how, when nature calls thee to be gone,"
Sonnet IV,11,What acceptable audit canst thou leave?
Sonnet IV,12,"  Thy unused beauty must be tomb'd with thee,"
Sonnet IV,13,"  Which, used, lives th' executor to be."
Sonnet V,0,"Those hours, that with gentle work did frame"
Sonnet V,1,"The lovely gaze where every eye doth dwell,"
Sonnet V,2,Will play the tyrants to the very same
Sonnet V,3,And that unfair which fairly doth excel:
Sonnet V,4,For never-resting time leads summer on
Sonnet V,5,To hideous winter and confounds him there;
Sonnet V,6,"Sap cheque'd with frost and lusty leaves quite gone,"
Sonnet V,7,Beauty o'ersnow'd and bareness every where:
Sonnet V,8,"Then, were not summer's distillation left,"
Sonnet V,9,"A liquid prisoner pent in walls of glass,"
Sonnet V,10,"Beauty's effect with beauty were bereft,"
Sonnet V,11,Nor it nor no remembrance what it was:
Sonnet V,12,"  But flowers distill'd though they with winter meet,"
Sonnet V,13,  Leese but their show; their substance still lives sweet.
Sonnet VI,0,Then let not winter's ragged hand deface
Sonnet VI,1,"In thee thy summer, ere thou be distill'd:"
Sonnet VI,2,Make sweet some vial; treasure thou some place
Sonnet VI,3,"With beauty's treasure, ere it be self-kill'd."
Sonnet VI,4,"That use is not forbidden usury,"
Sonnet VI,5,Which happies those that pay the willing loan;
Sonnet VI,6,"That's for thyself to breed another thee,"
Sonnet VI,7,"Or ten times happier, be it ten for one;"
Sonnet VI,8,"Ten times thyself were happier than thou art,"
Sonnet VI,9,If ten of thine ten times refigured thee:
Sonnet VI,10,"Then what could death do, if thou shouldst depart,"
Sonnet VI,11,Leaving thee living in posterity?
Sonnet VI,12,"  Be not self-will'd, for thou art much too fair"
Sonnet VI,13,  To be death's conquest and make worms thine heir.
Sonnet VII,0,Lo! in the orient when the gracious light
Sonnet VII,1,"Lifts up his burning head, each under eye"
Sonnet VII,2,"Doth homage to his new-appearing sight,"
Sonnet VII,3,Serving with looks his sacred majesty;
Sonnet VII,4,"And having climb'd the steep-up heavenly hill,"
Sonnet VII,5,"Resembling strong youth in his middle age,"
Sonnet VII,6,"yet mortal looks adore his beauty still,"
Sonnet VII,7,Attending on his golden pilgrimage;
Sonnet VII,8,"But when from highmost pitch, with weary car,"
Sonnet VII,9,"Like feeble age, he reeleth from the day,"
Sonnet VII,10,"The eyes, 'fore duteous, now converted are"
Sonnet VII,11,From his low tract and look another way:
Sonnet VII,12,"  So thou, thyself out-going in thy noon,"
Sonnet VII,13,"  Unlook'd on diest, unless thou get a son."
Sonnet VIII,0,"Music to hear, why hear'st thou music sadly?"
Sonnet VIII,1,"Sweets with sweets war not, joy delights in joy."
Sonnet VIII,2,"Why lovest thou that which thou receivest not gladly,"
Sonnet VIII,3,Or else receivest with pleasure thine annoy?
Sonnet VIII,4,"If the true concord of well-tuned sounds,"
Sonnet VIII,5,"By unions married, do offend thine ear,"
Sonnet VIII,6,"They do but sweetly chide thee, who confounds"
Sonnet VIII,7,In singleness the parts that thou shouldst bear.
Sonnet VIII,8,"Mark how one string, sweet husband to another,"
Sonnet VIII,9,"Strikes each in each by mutual ordering,"
Sonnet VIII,10,Resembling sire and child and happy mother
Sonnet VIII,11,"Who all in one, one pleasing note do sing:"
Sonnet VIII,12,"  Whose speechless song, being many, seeming one,"
Sonnet VIII,13,  Sings this to thee: 'thou single wilt prove none.'
Sonnet IX,0,Is it for fear to wet a widow's eye
Sonnet IX,1,That thou consumest thyself in single life?
Sonnet IX,2,Ah! if thou issueless shalt hap to die.
Sonnet IX,3,"The world will wail thee, like a makeless wife;"
Sonnet IX,4,The world will be thy widow and still weep
Sonnet IX,5,"That thou no form of thee hast left behind,"
Sonnet IX,6,When every private widow well may keep
Sonnet IX,7,By children's eyes her husband's shape in mind.
Sonnet IX,8,"Look, what an unthrift in the world doth spend"
Sonnet IX,9,"Shifts but his place, for still the world enjoys it;"
Sonnet IX,10,"But beauty's waste hath in the world an end,"
Sonnet IX,11,"And kept unused, the user so destroys it."
Sonnet IX,12,  No love toward others in that bosom sits
Sonnet IX,13,  That on himself such murderous shame commits.
Sonnet X,0,"For shame! deny that thou bear'st love to any,"
Sonnet X,1,Who for thyself art so unprovident.
Sonnet X,2,"Grant, if thou wilt, thou art beloved of many,"
Sonnet X,3,But that thou none lovest is most evident;
Sonnet X,4,For thou art so possess'd with murderous hate
Sonnet X,5,That 'gainst thyself thou stick'st not to conspire.
Sonnet X,6,Seeking that beauteous roof to ruinate
Sonnet X,7,Which to repair should be thy chief desire.
Sonnet X,8,"O, change thy thought, that I may change my mind!"
Sonnet X,9,Shall hate be fairer lodged than gentle love?
Sonnet X,10,"Be, as thy presence is, gracious and kind,"
Sonnet X,11,Or to thyself at least kind-hearted prove:
Sonnet X,12,"  Make thee another self, for love of me,"
Sonnet X,13,  That beauty still may live in thine or thee.
Sonnet XI,0,"As fast as thou shalt wane, so fast thou growest"
Sonnet XI,1,"In one of thine, from that which thou departest;"
Sonnet XI,2,And that fresh blood which youngly thou bestowest
Sonnet XI,3,Thou mayst call thine when thou from youth convertest.
Sonnet XI,4,"Herein lives wisdom, beauty and increase:"
Sonnet XI,5,"Without this, folly, age and cold decay:"
Sonnet XI,6,"If all were minded so, the times should cease"
Sonnet XI,7,And threescore year would make the world away.
Sonnet XI,8,"Let those whom Nature hath not made for store,"
Sonnet XI,9,"Harsh featureless and rude, barrenly perish:"
Sonnet XI,10,"Look, whom she best endow'd she gave the more;"
Sonnet XI,11,Which bounteous gift thou shouldst in bounty cherish:
Sonnet XI,12,"  She carved thee for her seal, and meant thereby"
Sonnet XI,13,"  Thou shouldst print more, not let that copy die."
Sonnet XII,0,"When I do count the clock that tells the time,"
Sonnet XII,1,And see the brave day sunk in hideous night;
Sonnet XII,2,"When I behold the violet past prime,"
Sonnet XII,3,And sable curls all silver'd o'er with white;
Sonnet XII,4,When lofty trees I see barren of leaves
Sonnet XII,5,"Which erst from heat did canopy the herd,"
Sonnet XII,6,And summer's green all girded up in sheaves
Sonnet XII,7,"Borne on the bier with white and bristly beard,"
Sonnet XII,8,"Then of thy beauty do I question make,"
Sonnet XII,9,"That thou among the wastes of time must go,"
Sonnet XII,10,Since sweets and beauties do themselves forsake
Sonnet XII,11,And die as fast as they see others grow;
Sonnet XII,12,  And nothing 'gainst Time's scythe can make defence
Sonnet XII,13,"  Save breed, to brave him when he takes thee hence."
Sonnet XIII,0,"O, that you were yourself! but, love, you are"
Sonnet XIII,1,No longer yours than you yourself here live:
Sonnet XIII,2,"Against this coming end you should prepare,"
Sonnet XIII,3,And your sweet semblance to some other give.
Sonnet XIII,4,So should that beauty which you hold in lease
Sonnet XIII,5,Find no determination: then you were
Sonnet XIII,6,"Yourself again after yourself's decease,"
Sonnet XIII,7,When your sweet issue your sweet form should bear.
Sonnet XIII,8,"Who lets so fair a house fall to decay,"
Sonnet XIII,9,Which husbandry in honour might uphold
Sonnet XIII,10,Against the stormy gusts of winter's day
Sonnet XIII,11,And barren rage of death's eternal cold?
Sonnet XIII,12,"  O, none but unthrifts! Dear my love, you know"
Sonnet XIII,13,  You had a father: let your son say so.
Sonnet XIV,0,Not from the stars do I my judgment pluck;
Sonnet XIV,1,"And yet methinks I have astronomy,"
Sonnet XIV,2,"But not to tell of good or evil luck,"
Sonnet XIV,3,"Of plagues, of dearths, or seasons' quality;"
Sonnet XIV,4,"Nor can I fortune to brief minutes tell,"
Sonnet XIV,5,"Pointing to each his thunder, rain and wind,"
Sonnet XIV,6,"Or say with princes if it shall go well,"
Sonnet XIV,7,By oft predict that I in heaven find:
Sonnet XIV,8,"But from thine eyes my knowledge I derive,"
Sonnet XIV,9,"And, constant stars, in them I read such art"
Sonnet XIV,10,"As truth and beauty shall together thrive,"
Sonnet XIV,11,If from thyself to store thou wouldst convert;
Sonnet XIV,12,  Or else of thee this I prognosticate:
Sonnet XIV,13,  Thy end is truth's and beauty's doom and date.
Sonnet XV,0,When I consider every thing that grows
Sonnet XV,1,"Holds in perfection but a little moment,"
Sonnet XV,2,That this huge stage presenteth nought but shows
Sonnet XV,3,Whereon the stars in secret influence comment;
Sonnet XV,4,"When I perceive that men as plants increase,"
Sonnet XV,5,"Cheered and cheque'd even by the self-same sky,"
Sonnet XV,6,"Vaunt in their youthful sap, at height decrease,"
Sonnet XV,7,And wear their brave state out of memory;
Sonnet XV,8,Then the conceit of this inconstant stay
Sonnet XV,9,"Sets you most rich in youth before my sight,"
Sonnet XV,10,"Where wasteful Time debateth with Decay,"
Sonnet XV,11,To change your day of youth to sullied night;
Sonnet XV,12,"  And all in war with Time for love of you,"
Sonnet XV,13,"  As he takes from you, I engraft you new."
Sonnet XVI,0,But wherefore do not you a mightier way
Sonnet XVI,1,"Make war upon this bloody tyrant, Time?"
Sonnet XVI,2,And fortify yourself in your decay
Sonnet XVI,3,With means more blessed than my barren rhyme?
Sonnet XVI,4,"Now stand you on the top of happy hours,"
Sonnet XVI,5,And many maiden gardens yet unset
Sonnet XVI,6,"With virtuous wish would bear your living flowers,"
Sonnet XVI,7,Much liker than your painted counterfeit:
Sonnet XVI,8,"So should the lines of life that life repair,"
Sonnet XVI,9,"Which this, Time's pencil, or my pupil pen,"
Sonnet XVI,10,"Neither in inward worth nor outward fair,"
Sonnet XVI,11,Can make you live yourself in eyes of men.
Sonnet XVI,12,"  To give away yourself keeps yourself still,"
Sonnet XVI,13,"  And you must live, drawn by your own sweet skill."
Sonnet XVII,0,"Who will believe my verse in time to come,"
Sonnet XVII,1,If it were fill'd with your most high deserts?
Sonnet XVII,2,"Though yet, heaven knows, it is but as a tomb"
Sonnet XVII,3,Which hides your life and shows not half your parts.
Sonnet XVII,4,If I could write the beauty of your eyes
Sonnet XVII,5,"And in fresh numbers number all your graces,"
Sonnet XVII,6,The age to come would say 'This poet lies:
Sonnet XVII,7,Such heavenly touches ne'er touch'd earthly faces.'
Sonnet XVII,8,So should my papers yellow'd with their age
Sonnet XVII,9,"Be scorn'd like old men of less truth than tongue,"
Sonnet XVII,10,And your true rights be term'd a poet's rage
Sonnet XVII,11,And stretched metre of an antique song:
Sonnet XVII,12,"  But were some child of yours alive that time,"
Sonnet XVII,13,  You should live twice; in it and in my rhyme.
Sonnet XVIII,0,Shall I compare thee to a summer's day?
Sonnet XVIII,1,Thou art more lovely and more temperate:
Sonnet XVIII,2,"Rough winds do shake the darling buds of May,"
Sonnet XVIII,3,And summer's lease hath all too short a date:
Sonnet XVIII,4,"Sometime too hot the eye of heaven shines,"
Sonnet XVIII,5,And often is his gold complexion dimm'd;
Sonnet XVIII,6,"And every fair from fair sometime declines,"
Sonnet XVIII,7,By chance or nature's changing course untrimm'd;
Sonnet XVIII,8,But thy eternal summer shall not fade
Sonnet XVIII,9,Nor lose possession of that fair thou owest;
Sonnet XVIII,10,"Nor shall Death brag thou wander'st in his shade,"
Sonnet XVIII,11,When in eternal lines to time thou growest:
Sonnet XVIII,12,"  So long as men can breathe or eyes can see,"
Sonnet XVIII,13,  So long lives this and this gives life to thee.
Sonnet XIX,0,"Devouring Time, blunt thou the lion's paws,"
Sonnet XIX,1,And make the earth devour her own sweet brood;
Sonnet XIX,2,"Pluck the keen teeth from the fierce tiger's jaws,"
Sonnet XIX,3,And burn the long-lived phoenix in her blood;
Sonnet XIX,4,"Make glad and sorry seasons as thou fleets,"
Sonnet XIX,5,"And do whate'er thou wilt, swift-footed Time,"
Sonnet XIX,6,To the wide world and all her fading sweets;
Sonnet XIX,7,But I forbid thee one most heinous crime:
Sonnet XIX,8,"O, carve not with thy hours my love's fair brow,"
Sonnet XIX,9,Nor draw no lines there with thine antique pen;
Sonnet XIX,10,Him in thy course untainted do allow
Sonnet XIX,11,For beauty's pattern to succeeding men.
Sonnet XIX,12,"  Yet, do thy worst, old Time: despite thy wrong,"
Sonnet XIX,13,  My love shall in my verse ever live young.
Sonnet XX,0,A woman's face with Nature's own hand painted
Sonnet XX,1,"Hast thou, the master-mistress of my passion;"
Sonnet XX,2,"A woman's gentle heart, but not acquainted"
Sonnet XX,3,"With shifting change, as is false women's fashion;"
Sonnet XX,4,"An eye more bright than theirs, less false in rolling,"
Sonnet XX,5,Gilding the object whereupon it gazeth;
Sonnet XX,6,"A man in hue, all 'hues' in his controlling,"
Sonnet XX,7,Much steals men's eyes and women's souls amazeth.
Sonnet XX,8,And for a woman wert thou first created;
Sonnet XX,9,"Till Nature, as she wrought thee, fell a-doting,"
Sonnet XX,10,"And by addition me of thee defeated,"
Sonnet XX,11,By adding one thing to my purpose nothing.
Sonnet XX,12,"  But since she prick'd thee out for women's pleasure,"
Sonnet XX,13,  Mine be thy love and thy love's use their treasure.
Sonnet XXI,0,So is it not with me as with that Muse
Sonnet XXI,1,"Stirr'd by a painted beauty to his verse,"
Sonnet XXI,2,Who heaven itself for ornament doth use
Sonnet XXI,3,And every fair with his fair doth rehearse
Sonnet XXI,4,"Making a couplement of proud compare,"
Sonnet XXI,5,"With sun and moon, with earth and sea's rich gems,"
Sonnet XXI,6,"With April's first-born flowers, and all things rare"
Sonnet XXI,7,That heaven's air in this huge rondure hems.
Sonnet XXI,8,"O' let me, true in love, but truly write,"
Sonnet XXI,9,"And then believe me, my love is as fair"
Sonnet XXI,10,"As any mother's child, though not so bright"
Sonnet XXI,11,As those gold candles fix'd in heaven's air:
Sonnet XXI,12,  Let them say more than like of hearsay well;
Sonnet XXI,13,  I will not praise that purpose not to sell.
Sonnet XXII,0,"My glass shall not persuade me I am old,"
Sonnet XXII,1,So long as youth and thou are of one date;
Sonnet XXII,2,"But when in thee time's furrows I behold,"
Sonnet XXII,3,Then look I death my days should expiate.
Sonnet XXII,4,For all that beauty that doth cover thee
Sonnet XXII,5,"Is but the seemly raiment of my heart,"
Sonnet XXII,6,"Which in thy breast doth live, as thine in me:"
Sonnet XXII,7,How can I then be elder than thou art?
Sonnet XXII,8,"O, therefore, love, be of thyself so wary"
Sonnet XXII,9,"As I, not for myself, but for thee will;"
Sonnet XXII,10,"Bearing thy heart, which I will keep so chary"
Sonnet XXII,11,As tender nurse her babe from faring ill.
Sonnet XXII,12,  Presume not on thy heart when mine is slain;
Sonnet XXII,13,"  Thou gavest me thine, not to give back again."
Sonnet XXIII,0,As an unperfect actor on the stage
Sonnet XXIII,1,"Who with his fear is put besides his part,"
Sonnet XXIII,2,"Or some fierce thing replete with too much rage,"
Sonnet XXIII,3,Whose strength's abundance weakens his own heart.
Sonnet XXIII,4,"So I, for fear of trust, forget to say"
Sonnet XXIII,5,"The perfect ceremony of love's rite,"
Sonnet XXIII,6,"And in mine own love's strength seem to decay,"
Sonnet XXIII,7,O'ercharged with burden of mine own love's might.
Sonnet XXIII,8,"O, let my books be then the eloquence"
Sonnet XXIII,9,"And dumb presagers of my speaking breast,"
Sonnet XXIII,10,Who plead for love and look for recompense
Sonnet XXIII,11,More than that tongue that more hath more express'd.
Sonnet XXIII,12,"  O, learn to read what silent love hath writ:"
Sonnet XXIII,13,  To hear with eyes belongs to love's fine wit.
Sonnet XXIV,0,Mine eye hath play'd the painter and hath stell'd
Sonnet XXIV,1,Thy beauty's form in table of my heart;
Sonnet XXIV,2,"My body is the frame wherein 'tis held,"
Sonnet XXIV,3,And perspective it is the painter's art.
Sonnet XXIV,4,"For through the painter must you see his skill,"
Sonnet XXIV,5,To find where your true image pictured lies;
Sonnet XXIV,6,"Which in my bosom's shop is hanging still,"
Sonnet XXIV,7,That hath his windows glazed with thine eyes.
Sonnet XXIV,8,Now see what good turns eyes for eyes have done:
Sonnet XXIV,9,"Mine eyes have drawn thy shape, and thine for me"
Sonnet XXIV,10,"Are windows to my breast, where-through the sun"
Sonnet XXIV,11,"Delights to peep, to gaze therein on thee;"
Sonnet XXIV,12,  Yet eyes this cunning want to grace their art;
Sonnet XXIV,13,"  They draw but what they see, know not the heart."
Sonnet XXV,0,Let those who are in favour with their stars
Sonnet XXV,1,"Of public honour and proud titles boast,"
Sonnet XXV,2,"Whilst I, whom fortune of such triumph bars,"
Sonnet XXV,3,Unlook'd for joy in that I honour most.
Sonnet XXV,4,Great princes' favourites their fair leaves spread
Sonnet XXV,5,"But as the marigold at the sun's eye,"
Sonnet XXV,6,"And in themselves their pride lies buried,"
Sonnet XXV,7,For at a frown they in their glory die.
Sonnet XXV,8,"The painful warrior famoused for fight,"
Sonnet XXV,9,"After a thousand victories once foil'd,"
Sonnet XXV,10,"Is from the book of honour razed quite,"
Sonnet XXV,11,And all the rest forgot for which he toil'd:
Sonnet XXV,12,"  Then happy I, that love and am beloved"
Sonnet XXV,13,  Where I may not remove nor be removed.
Sonnet XXVI,0,"Lord of my love, to whom in vassalage"
Sonnet XXVI,1,"Thy merit hath my duty strongly knit,"
Sonnet XXVI,2,"To thee I send this written embassage,"
Sonnet XXVI,3,"To witness duty, not to show my wit:"
Sonnet XXVI,4,"Duty so great, which wit so poor as mine"
Sonnet XXVI,5,"May make seem bare, in wanting words to show it,"
Sonnet XXVI,6,But that I hope some good conceit of thine
Sonnet XXVI,7,"In thy soul's thought, all naked, will bestow it;"
Sonnet XXVI,8,Till whatsoever star that guides my moving
Sonnet XXVI,9,Points on me graciously with fair aspect
Sonnet XXVI,10,"And puts apparel on my tatter'd loving,"
Sonnet XXVI,11,To show me worthy of thy sweet respect:
Sonnet XXVI,12,  Then may I dare to boast how I do love thee;
Sonnet XXVI,13,  Till then not show my head where thou mayst prove me.
Sonnet XXVII,0,"Weary with toil, I haste me to my bed,"
Sonnet XXVII,1,The dear repose for limbs with travel tired;
Sonnet XXVII,2,"But then begins a journey in my head,"
Sonnet XXVII,3,"To work my mind, when body's work's expired:"
Sonnet XXVII,4,"For then my thoughts, from far where I abide,"
Sonnet XXVII,5,"Intend a zealous pilgrimage to thee,"
Sonnet XXVII,6,"And keep my drooping eyelids open wide,"
Sonnet XXVII,7,Looking on darkness which the blind do see
Sonnet XXVII,8,Save that my soul's imaginary sight
Sonnet XXVII,9,"Presents thy shadow to my sightless view,"
Sonnet XXVII,10,"Which, like a jewel hung in ghastly night,"
Sonnet XXVII,11,Makes black night beauteous and her old face new.
Sonnet XXVII,12,"  Lo! thus, by day my limbs, by night my mind,"
Sonnet XXVII,13,  For thee and for myself no quiet find.
Sonnet XXVIII,0,"How can I then return in happy plight,"
Sonnet XXVIII,1,That am debarr'd the benefit of rest?
Sonnet XXVIII,2,"When day's oppression is not eased by night,"
Sonnet XXVIII,3,"But day by night, and night by day, oppress'd?"
Sonnet XXVIII,4,"And each, though enemies to either's reign,"
Sonnet XXVIII,5,Do in consent shake hands to torture me;
Sonnet XXVIII,6,"The one by toil, the other to complain"
Sonnet XXVIII,7,"How far I toil, still farther off from thee."
Sonnet XXVIII,8,"I tell the day, to please them thou art bright"
Sonnet XXVIII,9,And dost him grace when clouds do blot the heaven:
Sonnet XXVIII,10,"So flatter I the swart-complexion'd night,"
Sonnet XXVIII,11,When sparkling stars twire not thou gild'st the even.
Sonnet XXVIII,12,But day doth daily draw my sorrows longer
Sonnet XXVIII,13,  And night doth nightly make grief's strength
Sonnet XXVIII,14,  	seem stronger.
Sonnet XXIX,0,"When, in disgrace with fortune and men's eyes,"
Sonnet XXIX,1,I all alone beweep my outcast state
Sonnet XXIX,2,And trouble deaf heaven with my bootless cries
Sonnet XXIX,3,"And look upon myself and curse my fate,"
Sonnet XXIX,4,"Wishing me like to one more rich in hope,"
Sonnet XXIX,5,"Featured like him, like him with friends possess'd,"
Sonnet XXIX,6,"Desiring this man's art and that man's scope,"
Sonnet XXIX,7,With what I most enjoy contented least;
Sonnet XXIX,8,"Yet in these thoughts myself almost despising,"
Sonnet XXIX,9,"Haply I think on thee, and then my state,"
Sonnet XXIX,10,Like to the lark at break of day arising
Sonnet XXIX,11,"From sullen earth, sings hymns at heaven's gate;"
Sonnet XXIX,12,  For thy sweet love remember'd such wealth brings
Sonnet XXIX,13,  That then I scorn to change my state with kings.
Sonnet XXX,0,When to the sessions of sweet silent thought
Sonnet XXX,1,"I summon up remembrance of things past,"
Sonnet XXX,2,"I sigh the lack of many a thing I sought,"
Sonnet XXX,3,And with old woes new wail my dear time's waste:
Sonnet XXX,4,"Then can I drown an eye, unused to flow,"
Sonnet XXX,5,"For precious friends hid in death's dateless night,"
Sonnet XXX,6,"And weep afresh love's long since cancell'd woe,"
Sonnet XXX,7,And moan the expense of many a vanish'd sight:
Sonnet XXX,8,"Then can I grieve at grievances foregone,"
Sonnet XXX,9,And heavily from woe to woe tell o'er
Sonnet XXX,10,"The sad account of fore-bemoaned moan,"
Sonnet XXX,11,Which I new pay as if not paid before.
Sonnet XXX,12,"  But if the while I think on thee, dear friend,"
Sonnet XXX,13,  All losses are restored and sorrows end.
Sonnet XXXI,0,"Thy bosom is endeared with all hearts,"
Sonnet XXXI,1,"Which I by lacking have supposed dead,"
Sonnet XXXI,2,"And there reigns love and all love's loving parts,"
Sonnet XXXI,3,And all those friends which I thought buried.
Sonnet XXXI,4,How many a holy and obsequious tear
Sonnet XXXI,5,Hath dear religious love stol'n from mine eye
Sonnet XXXI,6,"As interest of the dead, which now appear"
Sonnet XXXI,7,But things removed that hidden in thee lie!
Sonnet XXXI,8,"Thou art the grave where buried love doth live,"
Sonnet XXXI,9,"Hung with the trophies of my lovers gone,"
Sonnet XXXI,10,Who all their parts of me to thee did give;
Sonnet XXXI,11,That due of many now is thine alone:
Sonnet XXXI,12,"  Their images I loved I view in thee,"
Sonnet XXXI,13,"  And thou, all they, hast all the all of me."
Sonnet XXXII,0,"If thou survive my well-contented day,"
Sonnet XXXII,1,"When that churl Death my bones with dust shall cover,"
Sonnet XXXII,2,And shalt by fortune once more re-survey
Sonnet XXXII,3,"These poor rude lines of thy deceased lover,"
Sonnet XXXII,4,"Compare them with the bettering of the time,"
Sonnet XXXII,5,"And though they be outstripp'd by every pen,"
Sonnet XXXII,6,"Reserve them for my love, not for their rhyme,"
Sonnet XXXII,7,Exceeded by the height of happier men.
Sonnet XXXII,8,"O, then vouchsafe me but this loving thought:"
Sonnet XXXII,9,"'Had my friend's Muse grown with this growing age,"
Sonnet XXXII,10,"A dearer birth than this his love had brought,"
Sonnet XXXII,11,To march in ranks of better equipage:
Sonnet XXXII,12,"  But since he died and poets better prove,"
Sonnet XXXII,13,"  Theirs for their style I'll read, his for his love.'"
Sonnet XXXIII,0,Full many a glorious morning have I seen
Sonnet XXXIII,1,"Flatter the mountain-tops with sovereign eye,"
Sonnet XXXIII,2,"Kissing with golden face the meadows green,"
Sonnet XXXIII,3,Gilding pale streams with heavenly alchemy;
Sonnet XXXIII,4,Anon permit the basest clouds to ride
Sonnet XXXIII,5,"With ugly rack on his celestial face,"
Sonnet XXXIII,6,"And from the forlorn world his visage hide,"
Sonnet XXXIII,7,Stealing unseen to west with this disgrace:
Sonnet XXXIII,8,Even so my sun one early morn did shine
Sonnet XXXIII,9,With all triumphant splendor on my brow;
Sonnet XXXIII,10,"But out, alack! he was but one hour mine;"
Sonnet XXXIII,11,The region cloud hath mask'd him from me now.
Sonnet XXXIII,12,  Yet him for this my love no whit disdaineth;
Sonnet XXXIII,13,  Suns of the world may stain when heaven's sun staineth.
Sonnet XXXIV,0,"Why didst thou promise such a beauteous day,"
Sonnet XXXIV,1,"And make me travel forth without my cloak,"
Sonnet XXXIV,2,"To let base clouds o'ertake me in my way,"
Sonnet XXXIV,3,Hiding thy bravery in their rotten smoke?
Sonnet XXXIV,4,"'Tis not enough that through the cloud thou break,"
Sonnet XXXIV,5,"To dry the rain on my storm-beaten face,"
Sonnet XXXIV,6,For no man well of such a salve can speak
Sonnet XXXIV,7,That heals the wound and cures not the disgrace:
Sonnet XXXIV,8,Nor can thy shame give physic to my grief;
Sonnet XXXIV,9,"Though thou repent, yet I have still the loss:"
Sonnet XXXIV,10,The offender's sorrow lends but weak relief
Sonnet XXXIV,11,To him that bears the strong offence's cross.
Sonnet XXXIV,12,"  Ah! but those tears are pearl which thy love sheds,"
Sonnet XXXIV,13,  And they are rich and ransom all ill deeds.
Sonnet XXXV,0,No more be grieved at that which thou hast done:
Sonnet XXXV,1,"Roses have thorns, and silver fountains mud;"
Sonnet XXXV,2,"Clouds and eclipses stain both moon and sun,"
Sonnet XXXV,3,And loathsome canker lives in sweetest bud.
Sonnet XXXV,4,"All men make faults, and even I in this,"
Sonnet XXXV,5,"Authorizing thy trespass with compare,"
Sonnet XXXV,6,"Myself corrupting, salving thy amiss,"
Sonnet XXXV,7,Excusing thy sins more than thy sins are;
Sonnet XXXV,8,For to thy sensual fault I bring in sense--
Sonnet XXXV,9,Thy adverse party is thy advocate--
Sonnet XXXV,10,And 'gainst myself a lawful plea commence:
Sonnet XXXV,11,Such civil war is in my love and hate
Sonnet XXXV,12,  That I an accessary needs must be
Sonnet XXXV,13,  To that sweet thief which sourly robs from me.
Sonnet XXXVI,0,"Let me confess that we two must be twain,"
Sonnet XXXVI,1,Although our undivided loves are one:
Sonnet XXXVI,2,So shall those blots that do with me remain
Sonnet XXXVI,3,Without thy help by me be borne alone.
